"id","created_at","operation","ticker","quantity","price","amount","fees","stop_loss","take_profit","trailing_stop_distance","highest_price","status","status_at","notes"
"9dcdb8e6","2026-01-05T14:00:00.000000","BUY","MT.AS","18","39.354282000000005","708.38","0.0","38.786","41.6833","","39.354282000000005","completed","2026-05-06T18:26:40.135772","Limit order 600f7215 executed @ 39.35"
"ff2b4f70","2026-01-06T14:00:00.000000","BUY","CS.PA","23","40.5405","932.43","0.0","40.2841","42.2819","","40.5405","completed","2026-05-06T18:26:40.859735","Limit order 055074b2 executed @ 40.54"
"7159170b","2026-01-07T14:00:00.000000","SELL","CS.PA","23","40.2841","926.53","0.0","","","","40.2841","completed","2026-05-06T18:26:41.595029","Stop loss exit @ 40.28"
"9201f555","2026-01-14T14:00:00.000000","SELL","MT.AS","18","41.6833","750.3","0.0","","","","41.6833","completed","2026-05-06T18:26:45.434778","Take profit exit @ 41.68"
"4cb4b6c6","2026-01-19T14:00:00.000000","BUY","STMPA.PA","20","23.981463","479.63","0.0","23.4109","25.8495","","23.981463","completed","2026-05-06T18:26:47.760926","Limit order 1b3ff24b executed @ 23.98"
"bd9cb148","2026-01-19T14:00:00.000000","SELL","STMPA.PA","20","23.4109","468.22","0.0","","","","23.4109","completed","2026-05-06T18:26:47.764633","Stop loss exit @ 23.41"
"8f8142f1","2026-01-23T14:00:00.000000","BUY","GLE.PA","14","70.0128","980.18","0.0","68.5936","74.9727","","70.0128","completed","2026-05-06T18:26:50.746427","Limit order 573d87d1 executed @ 70.01"
"d43fcc86","2026-01-26T14:00:00.000000","BUY","STMPA.PA","20","24.321924","486.44","0.0","23.5615","26.5798","","24.321924","completed","2026-05-06T18:26:51.534404","Limit order fdc6f6ac executed @ 24.32"
"e646af58","2026-01-29T14:00:00.000000","SELL","STMPA.PA","20","23.5615","471.23","0.0","","","","23.5615","completed","2026-05-06T18:26:53.883137","Stop loss exit @ 23.56"
"5f4929a7","2026-02-02T14:00:00.000000","SELL","GLE.PA","14","74.9727","1049.62","0.0","","","","74.9727","completed","2026-05-06T18:26:55.552222","Take profit exit @ 74.97"
"cbad80b6","2026-02-04T14:00:00.000000","BUY","MT.AS","18","48.082122","865.48","0.0","46.5154","52.6725","","48.082122","completed","2026-05-06T18:26:57.191199","Limit order 08f12245 executed @ 48.08"
"ec4113fd","2026-02-06T14:00:00.000000","BUY","GLE.PA","14","73.4778","1028.69","0.0","71.6464","79.3672","","73.4778","completed","2026-05-06T18:26:58.876460","Limit order 3ba96f48 executed @ 73.48"
"4871c46e","2026-02-06T14:00:00.000000","SELL","GLE.PA","14","71.6464","1003.05","0.0","","","","71.6464","completed","2026-05-06T18:26:58.881290","Stop loss exit @ 71.65"
"793c3d5c","2026-02-10T14:00:00.000000","BUY","GLE.PA","14","74.21039999999999","1038.95","0.0","71.8411","81.1978","","74.21039999999999","completed","2026-05-06T18:27:00.530599","Limit order c67f549c executed @ 74.21"
"bfa39174","2026-02-10T14:00:00.000000","SELL","MT.AS","18","52.6725","948.11","0.0","","","","52.6725","completed","2026-05-06T18:27:00.536564","Take profit exit @ 52.67"
"c3bf6213","2026-02-11T14:00:00.000000","SELL","GLE.PA","14","71.8411","1005.78","0.0","","","","71.8411","completed","2026-05-06T18:27:01.381587","Stop loss exit @ 71.84"
"806e40c3","2026-02-12T14:00:00.000000","BUY","BNP.PA","10","91.773","917.73","0.0","89.8616","98.3767","","91.773","completed","2026-05-06T18:27:02.248579","Limit order 2206ba4d executed @ 91.77"
"2825e65d","2026-02-13T14:00:00.000000","SELL","BNP.PA","10","89.8616","898.62","0.0","","","","89.8616","completed","2026-05-06T18:27:03.137099","Stop loss exit @ 89.86"
"904cd694","2026-02-17T14:00:00.000000","BUY","SU.PA","3","254.43","763.29","0.0","247.1656","276.6688","","254.43","completed","2026-05-06T18:27:05.052879","Limit order f418ae18 executed @ 254.43"
"a44ee0df","2026-02-17T14:00:00.000000","SELL","SU.PA","3","247.1656","741.5","0.0","","","","247.1656","completed","2026-05-06T18:27:05.057421","Stop loss exit @ 247.17"
"828fbdad","2026-02-18T14:00:00.000000","BUY","SGO.PA","12","88.407","1060.88","0.0","86.4381","95.0237","","88.407","completed","2026-05-06T18:27:05.960859","Limit order 94ec3000 executed @ 88.41"
"d8b5a794","2026-02-27T14:00:00.000000","BUY","STMPA.PA","20","28.470915","569.42","0.0","27.5043","31.267","","28.470915","completed","2026-05-06T18:27:12.414090","Limit order b624fcf0 executed @ 28.47"
"f5d14f29","2026-02-27T14:00:00.000000","SELL","SGO.PA","12","86.4381","1037.26","0.0","","","","86.4381","completed","2026-05-06T18:27:12.418844","Stop loss exit @ 86.44"
"95038a89","2026-03-02T14:00:00.000000","BUY","SAF.PA","3","336.6","1009.8","0.0","330.2581","359.4838","","336.6","completed","2026-05-06T18:27:13.392069","Limit order 58a7f496 executed @ 336.60"
"9ad79205","2026-03-02T14:00:00.000000","BUY","MT.AS","18","54.9252","988.65","0.0","52.8556","60.7288","","54.9252","completed","2026-05-06T18:27:13.394338","Limit order 6a265a57 executed @ 54.93"
"17446295","2026-03-02T14:00:00.000000","SELL","STMPA.PA","20","27.5043","550.09","0.0","","","","27.5043","completed","2026-05-06T18:27:13.399322","Stop loss exit @ 27.50"
"b99ef856","2026-03-02T14:00:00.000000","SELL","SAF.PA","3","330.2581","990.77","0.0","","","","330.2581","completed","2026-05-06T18:27:13.401278","Stop loss exit @ 330.26"
"6f6fef49","2026-03-03T14:00:00.000000","BUY","SU.PA","3","265.0725","795.22","0.0","257.4367","288.3766","","265.0725","completed","2026-05-06T18:27:14.324852","Limit order 14ffeec6 executed @ 265.07"
"8951d136","2026-03-03T14:00:00.000000","BUY","AI.PA","5","173.9232","869.62","0.0","171.2934","184.4532","","173.9232","completed","2026-05-06T18:27:14.327149","Limit order f67ebcc0 executed @ 173.92"
"b780cc78","2026-03-03T14:00:00.000000","SELL","MT.AS","18","52.8556","951.4","0.0","","","","52.8556","completed","2026-05-06T18:27:14.332249","Stop loss exit @ 52.86"
"345a5952","2026-03-03T14:00:00.000000","SELL","SU.PA","3","257.4367","772.31","0.0","","","","257.4367","completed","2026-05-06T18:27:14.334378","Stop loss exit @ 257.44"
"9237c3b4","2026-03-04T14:00:00.000000","BUY","TTE.PA","13","66.71164499999999","867.25","0.0","65.0566","72.0435","","66.71164499999999","completed","2026-05-06T18:27:15.249560","Limit order ace068c7 executed @ 66.71"
"de161732","2026-03-05T14:00:00.000000","BUY","TTE.PA","13","66.71164499999999","867.25","0.0","65.0566","72.0435","","66.71164499999999","completed","2026-05-06T18:27:16.160328","Limit order 0fa4313b executed @ 66.71"
"f4e07fe9","2026-03-05T14:00:00.000000","BUY","ORA.PA","55","17.631899999999998","969.75","0.0","17.2486","18.9328","","17.631899999999998","completed","2026-05-06T18:27:16.163050","Limit order b2ddfd97 executed @ 17.63"
"9f33f8e3","2026-03-05T14:00:00.000000","SELL","AI.PA","5","171.2934","856.47","0.0","","","","171.2934","completed","2026-05-06T18:27:16.168977","Stop loss exit @ 171.29"
