"id","created_at","operation","ticker","quantity","price","amount","fees","stop_loss","take_profit","trailing_stop_distance","highest_price","status","status_at","notes"
"0e37982a","2025-01-03T14:00:00.000000","BUY","RNO.PA","32","44.432981999999996","1421.86","0.0","43.5113","47.6226","","44.432981999999996","completed","2026-05-06T18:58:12.131432","Limit order 3529ab19 executed @ 44.43"
"5bdadbe3","2025-01-09T14:00:00.000000","BUY","AIR.PA","5","150.757101","753.79","0.0","148.9199","158.9998","","150.757101","completed","2026-05-06T18:58:14.855340","Limit order ba0f8bf4 executed @ 150.76"
"6d8c31ff","2025-01-09T14:00:00.000000","BUY","RNO.PA","32","44.517923999999994","1424.57","0.0","43.5159","47.871","","44.517923999999994","completed","2026-05-06T18:58:14.857658","Limit order 48e08f1a executed @ 44.52"
"432843ea","2025-01-10T14:00:00.000000","BUY","CS.PA","23","32.335677000000004","743.72","0.0","31.8948","34.1972","","32.335677000000004","completed","2026-05-06T18:58:15.504774","Limit order ed004e41 executed @ 32.34"
"022f9ed7","2025-01-10T14:00:00.000000","SELL","RNO.PA","64","43.5159","2785.02","0.0","","","","43.5159","completed","2026-05-06T18:58:15.508596","Stop loss exit @ 43.52"
"c93493b9","2025-01-13T14:00:00.000000","BUY","AIR.PA","5","149.787396","748.94","0.0","147.8657","158.1698","","149.787396","completed","2026-05-06T18:58:16.170300","Limit order f08bb5c3 executed @ 149.79"
"3ec5a283","2025-01-13T14:00:00.000000","SELL","CS.PA","23","31.8948","733.58","0.0","","","","31.8948","completed","2026-05-06T18:58:16.174048","Stop loss exit @ 31.89"
"abb537d0","2025-01-20T14:00:00.000000","BUY","RNO.PA","32","46.047474","1473.52","0.0","44.9057","49.7264","","46.047474","completed","2026-05-06T18:58:19.691710","Limit order a0d4dc7f executed @ 46.05"
"4518351c","2025-01-22T14:00:00.000000","SELL","AIR.PA","10","158.1698","1581.7","0.0","","","","158.1698","completed","2026-05-06T18:58:21.117919","Take profit exit @ 158.17"
"4a9112be","2025-02-03T14:00:00.000000","BUY","OR.PA","2","341.881848","683.76","0.0","334.3611","367.2833","","341.881848","completed","2026-05-06T18:58:27.363482","Limit order 7093982f executed @ 341.88"
"da944a1a","2025-02-05T14:00:00.000000","SELL","OR.PA","2","334.3611","668.72","0.0","","","","334.3611","completed","2026-05-06T18:58:29.017541","Stop loss exit @ 334.36"
"991e465a","2025-02-11T14:00:00.000000","BUY","DG.PA","7","99.91515600000001","699.41","0.0","98.2017","106.3699","","99.91515600000001","completed","2026-05-06T18:58:32.181718","Limit order 1b493701 executed @ 99.92"
