"id","created_at","ticker","quantity","entry_price","limit_price","stop_loss","take_profit","trailing_stop_distance","execution_method","scale_count","risk_amount","risk_reward","status","metadata"
"cefded51","2026-05-06T17:46:47.757786","MT.AS","18","39.7518","39.553041","38.5592","41.2376","1.1926000000000059","limit","1","21.466800000000106","1.2458494046620747","executed","{""strategy"": ""cac_pullback"", ""entry_score"": 100, ""composite_score"": 78.56, ""rr_ratio"": 1.25, ""recommendation"": ""BUY"", ""timestamp"": ""2026-05-06T15:46:47.755516""}"
"c51087c4","2026-05-06T17:46:47.760114","BNP.PA","10","81.92","81.5104","79.4624","84.3167","2.4575999999999993","limit","1","24.575999999999993","0.9752197265624984","cancelled","{""strategy"": ""cac_pullback"", ""entry_score"": 100, ""composite_score"": 76.88, ""rr_ratio"": 0.98, ""recommendation"": ""BUY"", ""timestamp"": ""2026-05-06T15:46:47.755535""}"
"e5d0b618","2026-05-06T17:46:47.762403","EN.PA","18","43.3612","43.144394","42.0603","44.4191","1.3008999999999986","limit","1","23.416199999999975","0.8132062418325811","cancelled","{""strategy"": ""cac_pullback"", ""entry_score"": 100, ""composite_score"": 75.81, ""rr_ratio"": 0.81, ""recommendation"": ""BUY"", ""timestamp"": ""2026-05-06T15:46:47.755549""}"
"6115c076","2026-05-06T17:46:47.764221","CA.PA","58","14.41","14.33795","13.9777","14.7805","0.4322999999999997","limit","1","25.07339999999998","0.8570437196391397","executed","{""strategy"": ""cac_pullback"", ""entry_score"": 93, ""composite_score"": 75.08, ""rr_ratio"": 0.86, ""recommendation"": ""BUY"", ""timestamp"": ""2026-05-06T15:46:47.755561""}"
"46d93580","2026-05-06T17:46:47.765885","PUB.PA","12","87.66","87.2217","85.0302","91.0043","2.629800000000003","limit","1","31.557600000000036","1.2716936649174844","executed","{""strategy"": ""cac_pullback"", ""entry_score"": 90, ""composite_score"": 72.94, ""rr_ratio"": 1.27, ""recommendation"": ""BUY"", ""timestamp"": ""2026-05-06T15:46:47.755571""}"
"ab155f26","2026-05-06T17:46:47.767544","ACA.PA","57","17.79","17.70105","17.2563","18.2021","0.5336999999999996","limit","1","30.42089999999998","0.772156642308418","cancelled","{""strategy"": ""cac_pullback"", ""entry_score"": 93, ""composite_score"": 72.76, ""rr_ratio"": 0.77, ""recommendation"": ""BUY"", ""timestamp"": ""2026-05-06T15:46:47.755581""}"
"4783a5d2","2026-05-06T17:46:47.769226","ENGI.PA","35","21.9041","21.7945795","21.2469","22.4743","0.6571999999999996","limit","1","23.001999999999985","0.8676202069385274","cancelled","{""strategy"": ""cac_pullback"", ""entry_score"": 93, ""composite_score"": 71.64, ""rr_ratio"": 0.87, ""recommendation"": ""BUY"", ""timestamp"": ""2026-05-06T15:46:47.755591""}"
"02825031","2026-05-06T17:46:47.770869","CS.PA","23","40.95","40.745250000000006","39.7215","41.9745","1.228500000000004","limit","1","28.25550000000009","0.8339438339438282","cancelled","{""strategy"": ""cac_pullback"", ""entry_score"": 100, ""composite_score"": 68.94, ""rr_ratio"": 0.83, ""recommendation"": ""BUY"", ""timestamp"": ""2026-05-06T15:46:47.755600""}"
"aeb5751f","2026-05-06T17:46:47.772652","ML.PA","30","28.66","28.5167","27.8002","29.3384","0.8597999999999999","limit","1","25.793999999999997","0.7890207024889508","cancelled","{""strategy"": ""cac_pullback"", ""entry_score"": 73, ""composite_score"": 66.64, ""rr_ratio"": 0.79, ""recommendation"": ""BUY"", ""timestamp"": ""2026-05-06T15:46:47.755608""}"
"c950bc9b","2026-05-06T17:46:47.774348","MC.PA","10","631.5026","628.345087","612.5575","651.0137","18.945100000000025","limit","1","189.45100000000025","1.029875799019267","executed","{""strategy"": ""cac_pullback"", ""entry_score"": 80, ""composite_score"": 65.69, ""rr_ratio"": 1.03, ""recommendation"": ""BUY"", ""timestamp"": ""2026-05-06T15:46:47.755617""}"
