"id","created_at","operation","ticker","quantity","price","amount","fees","stop_loss","take_profit","trailing_stop_distance","highest_price","status","status_at","notes"
"10f5fe11","2026-01-05T14:00:00.000000","BUY","MT.AS","18","39.553041","711.95","0.0","38.5592","41.2376","","39.553041","completed","2026-05-06T17:46:47.799288","Limit order cefded51 executed @ 39.55"
"18156430","2026-01-05T14:00:00.000000","BUY","CA.PA","58","14.33795","831.6","0.0","13.9777","14.7805","","14.33795","completed","2026-05-06T17:46:47.801752","Limit order 6115c076 executed @ 14.34"
"0bc7f156","2026-01-05T14:00:00.000000","BUY","ORA.PA","55","14.2683","784.76","0.0","13.9098","14.6835","","14.2683","completed","2026-05-06T17:46:47.804665","Limit order e46b2e30 executed @ 14.27"
"b657dbd5","2026-01-05T14:00:00.000000","BUY","EL.PA","10","258.0732495","2580.73","0.0","251.589","268.0387","","258.0732495","completed","2026-05-06T17:46:47.807205","Limit order 281f89a9 executed @ 258.07"
"f539e2c9","2026-01-05T14:00:00.000000","BUY","EDEN.PA","46","18.691075","859.79","0.0","18.2214","19.638","","18.691075","completed","2026-05-06T17:46:47.809058","Limit order dfe7ea4c executed @ 18.69"
"15282ece","2026-01-05T14:00:00.000000","BUY","AI.PA","10","158.205","1582.05","0.0","154.23","162.1091","","158.205","completed","2026-05-06T17:46:47.811785","Limit order dfdbdf03 executed @ 158.21"
"8aed4e64","2026-01-05T14:00:00.000000","BUY","BN.PA","15","73.1091175","1096.64","0.0","71.2722","75.0774","","73.1091175","completed","2026-05-06T17:46:47.814461","Limit order ef876b3a executed @ 73.11"
"7a6bc848","2026-01-05T14:00:00.000000","SELL","EDEN.PA","46","18.2214","838.18","0.0","","","","18.2214","completed","2026-05-06T17:46:47.819363","Stop loss exit @ 18.22"
"6bd26bbe","2026-01-05T14:00:00.000000","SELL","BN.PA","15","71.2722","1069.08","0.0","","","","71.2722","completed","2026-05-06T17:46:47.821966","Stop loss exit @ 71.27"
"9f89ee78","2026-01-06T14:00:00.000000","BUY","BNP.PA","10","81.46065","814.61","0.0","79.4139","84.3791","","81.46065","completed","2026-05-06T17:46:48.478013","Limit order fe9188ad executed @ 81.46"
"8f79c600","2026-01-06T14:00:00.000000","BUY","CA.PA","58","14.153875","820.92","0.0","13.7983","14.6434","","14.153875","completed","2026-05-06T17:46:48.480185","Limit order 2c520295 executed @ 14.15"
"57faf134","2026-01-06T14:00:00.000000","BUY","ACA.PA","57","17.66125","1006.69","0.0","17.2175","18.2152","","17.66125","completed","2026-05-06T17:46:48.482160","Limit order 5361185e executed @ 17.66"
"f9687818","2026-01-06T14:00:00.000000","BUY","CS.PA","23","40.6159","934.17","0.0","39.5954","41.9293","","40.6159","completed","2026-05-06T17:46:48.484102","Limit order f9044cc9 executed @ 40.62"
"1f1c5cff","2026-01-06T14:00:00.000000","BUY","LR.PA","10","127.957","1279.57","0.0","124.742","132.5818","","127.957","completed","2026-05-06T17:46:48.486620","Limit order 1b34ba0a executed @ 127.96"
"8d3f6204","2026-01-06T14:00:00.000000","BUY","DSY.PA","50","23.909850000000002","1195.49","0.0","23.3091","24.8708","","23.909850000000002","completed","2026-05-06T17:46:48.488920","Limit order 770d44d6 executed @ 23.91"
"10547f61","2026-01-06T14:00:00.000000","SELL","LR.PA","10","124.742","1247.42","0.0","","","","124.742","completed","2026-05-06T17:46:48.495099","Stop loss exit @ 124.74"
"76b714e3","2026-01-06T14:00:00.000000","SELL","DSY.PA","50","23.3091","1165.45","0.0","","","","23.3091","completed","2026-05-06T17:46:48.497492","Stop loss exit @ 23.31"
"22658d2c","2026-01-06T14:00:00.000000","SELL","EL.PA","10","268.0387","2680.39","0.0","","","","268.0387","completed","2026-05-06T17:46:48.500972","Take profit exit @ 268.04"
"9c9a6a9e","2026-01-07T14:00:00.000000","BUY","PUB.PA","12","87.2217","1046.66","0.0","85.0302","91.0043","","87.2217","completed","2026-05-06T17:46:49.180346","Limit order 46d93580 executed @ 87.22"
"660e00ad","2026-01-07T14:00:00.000000","BUY","MC.PA","10","628.345087","6283.45","0.0","612.5575","651.0137","","628.345087","completed","2026-05-06T17:46:49.182496","Limit order c950bc9b executed @ 628.35"
"531ab6fe","2026-01-07T14:00:00.000000","BUY","CS.PA","23","40.3373","927.76","0.0","39.3238","41.6614","","40.3373","completed","2026-05-06T17:46:49.184667","Limit order 8fa3992b executed @ 40.34"
"370294e8","2026-01-07T14:00:00.000000","BUY","BNP.PA","10","80.16714999999999","801.67","0.0","78.1529","83.4432","","80.16714999999999","completed","2026-05-06T17:46:49.186875","Limit order 7affad42 executed @ 80.17"
"b0252a0e","2026-01-07T14:00:00.000000","BUY","ACA.PA","57","17.48215","996.48","0.0","17.0429","18.0798","","17.48215","completed","2026-05-06T17:46:49.189340","Limit order 64883d18 executed @ 17.48"
"a3ce4e60","2026-01-07T14:00:00.000000","BUY","AI.PA","10","156.6926","1566.93","0.0","152.7556","161.2869","","156.6926","completed","2026-05-06T17:46:49.191552","Limit order cec36b37 executed @ 156.69"
"18735f86","2026-01-07T14:00:00.000000","BUY","EL.PA","10","269.446","2694.46","0.0","262.676","282.794","","269.446","completed","2026-05-06T17:46:49.193985","Limit order 79115031 executed @ 269.45"
"8683e947","2026-01-07T14:00:00.000000","BUY","OR.PA","10","359.7883185","3597.88","0.0","350.7485","374.0624","","359.7883185","completed","2026-05-06T17:46:49.196471","Limit order f3d494c0 executed @ 359.79"
"13f82aba","2026-01-07T14:00:00.000000","BUY","EDEN.PA","46","18.949775000000002","871.69","0.0","18.4737","20.1466","","18.949775000000002","completed","2026-05-06T17:46:49.198629","Limit order 41eb56ce executed @ 18.95"
"87f3dccb","2026-01-07T14:00:00.000000","SELL","MC.PA","10","612.5575","6125.57","0.0","","","","612.5575","completed","2026-05-06T17:46:49.205728","Stop loss exit @ 612.56"
"fc72aa32","2026-01-07T14:00:00.000000","SELL","OR.PA","10","350.7485","3507.48","0.0","","","","350.7485","completed","2026-05-06T17:46:49.208133","Stop loss exit @ 350.75"
"a474bf76","2026-01-07T14:00:00.000000","SELL","MT.AS","18","41.2376","742.28","0.0","","","","41.2376","completed","2026-05-06T17:46:49.211951","Take profit exit @ 41.24"
"33f48c11","2026-01-08T14:00:00.000000","BUY","MT.AS","18","41.100962499999994","739.82","0.0","40.0683","43.1831","","41.100962499999994","completed","2026-05-06T17:46:49.906572","Limit order a95f0dba executed @ 41.10"
"884b6cbe","2026-01-08T14:00:00.000000","BUY","LR.PA","10","126.8625","1268.62","0.0","123.675","132.4578","","126.8625","completed","2026-05-06T17:46:49.910413","Limit order 520da7d2 executed @ 126.86"
"2038cadb","2026-01-08T14:00:00.000000","SELL","MT.AS","18","40.0683","721.23","0.0","","","","40.0683","completed","2026-05-06T17:46:49.917353","Stop loss exit @ 40.07"
"b12081f7","2026-01-08T14:00:00.000000","SELL","EL.PA","10","262.676","2626.76","0.0","","","","262.676","completed","2026-05-06T17:46:49.920217","Stop loss exit @ 262.68"
"faece90d","2026-01-08T14:00:00.000000","SELL","EDEN.PA","46","18.4737","849.79","0.0","","","","18.4737","completed","2026-05-06T17:46:49.924057","Stop loss exit @ 18.47"
"8ca33668","2026-01-08T14:00:00.000000","SELL","LR.PA","10","123.675","1236.75","0.0","","","","123.675","completed","2026-05-06T17:46:49.928063","Stop loss exit @ 123.67"
"73322534","2026-01-08T14:00:00.000000","SELL","ORA.PA","55","14.6835","807.59","0.0","","","","14.6835","completed","2026-05-06T17:46:49.932152","Take profit exit @ 14.68"
"96192216","2026-01-09T14:00:00.000000","BUY","CS.PA","23","40.2378","925.47","0.0","39.2268","41.6083","","40.2378","completed","2026-05-06T17:46:50.636936","Limit order 469feafe executed @ 40.24"
"a1939c6d","2026-01-09T14:00:00.000000","BUY","EN.PA","18","44.194318","795.5","0.0","43.0839","45.7032","","44.194318","completed","2026-05-06T17:46:50.639529","Limit order 7f82c916 executed @ 44.19"
"db02e08e","2026-01-09T14:00:00.000000","BUY","CA.PA","58","14.29815","829.29","0.0","13.9389","14.8562","","14.29815","completed","2026-05-06T17:46:50.642061","Limit order 99449f2f executed @ 14.30"
"4cee0d61","2026-01-09T14:00:00.000000","BUY","AC.PA","22","48.08835","1057.94","0.0","46.8801","49.8999","","48.08835","completed","2026-05-06T17:46:50.644647","Limit order feaf3226 executed @ 48.09"
"d1f784cf","2026-01-09T14:00:00.000000","BUY","ORA.PA","55","14.541925","799.81","0.0","14.1765","15.0918","","14.541925","completed","2026-05-06T17:46:50.647128","Limit order e07cb7a2 executed @ 14.54"
"1ddb0d26","2026-01-09T14:00:00.000000","BUY","EDEN.PA","46","18.73585","861.85","0.0","18.2651","20.0697","","18.73585","completed","2026-05-06T17:46:50.649506","Limit order 1ae5d139 executed @ 18.74"
"8b75e676","2026-01-09T14:00:00.000000","SELL","EN.PA","18","43.0839","775.51","0.0","","","","43.0839","completed","2026-05-06T17:46:50.657011","Stop loss exit @ 43.08"
"004c4dbe","2026-01-09T14:00:00.000000","SELL","BNP.PA","20","83.4432","1668.86","0.0","","","","83.4432","completed","2026-05-06T17:46:50.661760","Take profit exit @ 83.44"
"dfc44c03","2026-01-12T14:00:00.000000","BUY","CAP.PA","10","150.09574999999998","1500.96","0.0","146.3245","158.2078","","150.09574999999998","completed","2026-05-06T17:46:51.379308","Limit order 2668fcb2 executed @ 150.10"
"ef7fe6ef","2026-01-12T14:00:00.000000","BUY","CS.PA","23","39.79005","915.17","0.0","38.7903","41.2079","","39.79005","completed","2026-05-06T17:46:51.382140","Limit order f9e17cde executed @ 39.79"
"a9011b52","2026-01-12T14:00:00.000000","BUY","MC.PA","10","638.4291135","6384.29","0.0","622.3882","669.5165","","638.4291135","completed","2026-05-06T17:46:51.384880","Limit order a3cc4d10 executed @ 638.43"
"e3917998","2026-01-12T14:00:00.000000","BUY","EL.PA","10","270.126381","2701.26","0.0","263.3393","285.1027","","270.126381","completed","2026-05-06T17:46:51.387630","Limit order 01279867 executed @ 270.13"
"8c74bfaf","2026-01-12T14:00:00.000000","BUY","EDEN.PA","46","18.516949999999998","851.78","0.0","18.0517","19.8124","","18.516949999999998","completed","2026-05-06T17:46:51.390698","Limit order c0473738 executed @ 18.52"
"57002e4c","2026-01-12T14:00:00.000000","SELL","ORA.PA","55","14.1765","779.71","0.0","","","","14.1765","completed","2026-05-06T17:46:51.398226","Stop loss exit @ 14.18"
"d4185225","2026-01-12T14:00:00.000000","SELL","EDEN.PA","92","18.0517","1660.76","0.0","","","","18.0517","completed","2026-05-06T17:46:51.402421","Stop loss exit @ 18.05"
"e72fff88","2026-01-12T14:00:00.000000","SELL","CAP.PA","10","146.3245","1463.24","0.0","","","","146.3245","completed","2026-05-06T17:46:51.405458","Stop loss exit @ 146.32"
"7c13cb73","2026-01-13T14:00:00.000000","BUY","EN.PA","18","43.449859","782.1","0.0","42.3581","45.2447","","43.449859","completed","2026-05-06T17:46:52.151517","Limit order 3ededf70 executed @ 43.45"
