ticker,date,open,high,low,close,volume,signal_score,signals,atr_14,rsi_9,ema_20,ema_50,adx_20,rsi_14,macd_12_26,ema_10,entry_score,timing_score,rr_ratio,order_qty,order_entry,order_stop,order_target,order_method,order_status
AIR.PA,2026-01-15 00:00:00+01:00,211.3938896942924,211.63935403091327,208.93924632808358,210.95205688476562,868452,0.3,trend,4.0093,59.7463,204.0716,199.8121,46.0145,65.6215,4.7796,208.5614,95,65,0.42,,210.9521,186.8082,220.9753,market,pending
MT.AS,2026-01-15 00:00:00+01:00,41.78622710570431,42.38459635605422,41.33744826577243,42.015602111816406,1591324,0.3,trend,0.9849,80.1639,39.7561,37.5429,42.8724,76.5621,1.2431,40.7169,85,70,0.55,,42.0156,37.5777,44.4778,market,pending
BNP.PA,2026-01-15 00:00:00+01:00,87.29000091552734,87.87999725341797,86.5999984741211,87.37999725341797,1876145,0.3,trend,1.8465,82.6808,82.4917,78.4568,67.3444,80.208,2.9248,84.8091,85,65,0.54,,87.38,78.81,91.9962,market,pending
EN.PA,2026-01-15 00:00:00+01:00,43.37077184543039,43.629788180068005,43.05419876498992,43.54344940185547,507748,0.3,trend,0.793,53.8212,42.9893,41.6222,42.6903,55.3247,0.6029,43.3765,100,70,1.18,,43.5434,41.8646,45.526,market,pending
CA.PA,2026-01-15 00:00:00+01:00,13.864999771118164,13.96500015258789,13.845000267028809,13.96500015258789,2251044,0.3,trend,0.2527,39.6841,14.0691,13.7601,40.092,41.852,0.0846,14.0879,83,80,2.87,,13.965,13.745,14.5967,market,pending
ACA.PA,2026-01-15 00:00:00+01:00,17.780000686645508,17.8700008392334,17.584999084472656,17.6299991607666,3312267,0.3,trend,0.2672,50.232,17.4894,17.0923,53.7308,53.6239,0.2042,17.6196,93,45,1.45,,17.63,17.17,18.2979,market,pending
ENGI.PA,2026-01-15 00:00:00+01:00,22.743226007982376,22.857656313429754,22.52389974017747,22.790904998779297,2823955,0.3,trend,0.3698,73.1437,21.9235,21.0117,45.8753,74.4821,0.5527,22.3616,85,70,0.42,,22.7909,20.5976,23.7155,market,pending
ML.PA,2026-01-15 00:00:00+01:00,30.100000381469727,30.489999771118164,29.969999313354492,30.309999465942383,2155585,0.3,trend,0.4523,97.0257,29.1545,28.8108,43.8266,92.0207,0.5315,29.6457,85,65,0.46,,30.31,27.85,31.4406,market,pending
GLE.PA,2026-01-15 00:00:00+01:00,71.54000091552734,71.5999984741211,70.26000213623047,70.9800033569336,1696183,0.3,trend,1.4897,71.209,68.3547,64.2939,62.1582,69.7813,2.1074,69.7762,95,70,0.54,,70.98,64.12,74.7043,market,pending
STMPA.PA,2026-01-15 00:00:00+01:00,24.4430066634974,24.582539902585083,24.139026047483547,24.293508529663086,2392408,0.3,trend,0.6479,56.3916,23.3551,22.5193,59.5475,59.9594,0.7999,23.9956,100,70,0.61,,24.2935,21.6275,25.9133,market,pending
VIE.PA,2026-01-15 00:00:00+01:00,29.979999542236328,29.989999771118164,29.549999237060547,29.84000015258789,1362904,0.3,trend,0.5066,43.181,29.8355,29.5503,20.3467,47.434,0.2018,29.9781,88,75,1.35,,29.84,28.9,31.1064,market,pending
