ticker,date,open,high,low,close,volume,signal_score,signals,atr_14,rsi_9,ema_20,ema_50,adx_20,rsi_14,macd_12_26,ema_10,entry_score,timing_score,rr_ratio,order_qty,order_entry,order_stop,order_target,order_method,order_status
AC.PA,2026-05-05 00:00:00+02:00,41.18000030517578,41.56999969482422,40.97999954223633,41.41999816894531,758292,0.0,,1.1322,26.6334,42.9155,43.6612,23.9188,,,,52,85,1.82,,41.42,40.1774,43.6844,market,pending
AI.PA,2026-05-05 00:00:00+02:00,178.0800018310547,179.9600067138672,177.25999450683594,179.44000244140625,680566,0.4,trend,3.4452,34.9122,182.4288,178.0438,35.6241,,,,67,80,1.28,,179.44,174.0568,186.3304,market,pending
AIR.PA,2026-05-05 00:00:00+02:00,176.1999969482422,180.86000061035156,174.66000366210938,177.86000061035156,1401883,0.0,,5.8565,78.7206,170.3681,172.5868,17.1075,,,,42,65,2.2,,177.86,172.5242,189.573,market,pending
MT.AS,2026-05-05 00:00:00+02:00,47.61000061035156,49.58000183105469,47.529998779296875,49.58000183105469,2056545,0.4,trend,2.1481,48.8595,49.7604,48.7864,22.7658,,,,62,80,2.89,,49.58,48.0926,53.8761,market,pending
CS.PA,2026-05-05 00:00:00+02:00,40.09000015258789,40.65999984741211,39.970001220703125,40.290000915527344,2496324,0.4,trend,0.8073,37.775,40.7729,40.1793,25.212,,,,67,80,1.34,,40.29,39.0813,41.9046,market,pending
BNP.PA,2026-05-05 00:00:00+02:00,87.27999877929688,88.91999816894531,86.62000274658203,88.77999877929688,1550414,0.4,trend,2.5541,42.8692,89.3108,88.3177,27.2004,,,,67,80,1.92,,88.78,86.1166,93.8883,market,pending
EN.PA,2026-05-05 00:00:00+02:00,49.5,50.86000061035156,49.41999816894531,50.86000061035156,739008,0.0,,1.1132,65.087,49.6996,48.5826,11.8189,,,,57,65,1.46,,50.86,49.3342,53.0864,market,pending
CAP.PA,2026-05-05 00:00:00+02:00,106.0,107.5999984741211,103.75,105.44999694824219,682442,0.0,,4.0486,59.7441,103.6976,106.4806,18.1247,,,,37,50,2.56,,105.45,102.2865,113.5472,market,pending
CA.PA,2026-05-05 00:00:00+02:00,16.875,16.94499969482422,16.614999771118164,16.7549991607666,2161061,0.0,,0.3113,54.9402,16.5113,15.9781,18.5671,,,,57,65,1.24,,16.755,16.2523,17.3776,market,pending
ACA.PA,2026-05-05 00:00:00+02:00,16.485000610351562,16.764999389648438,16.3799991607666,16.649999618530273,4822062,0.0,,0.4202,32.0512,16.9896,17.0701,23.185,,,,52,80,1.68,,16.65,16.1505,17.4904,market,pending
BN.PA,2026-05-05 00:00:00+02:00,65.41999816894531,65.41999816894531,64.22000122070312,64.45999908447266,1253693,0.0,,1.1492,43.6432,65.3487,66.6293,17.7256,,,,37,55,1.19,,64.46,62.5262,66.7584,market,pending
DSY.PA,2026-05-05 00:00:00+02:00,19.25,19.639999389648438,19.219999313354492,19.600000381469727,1843752,0.0,,0.5767,71.0639,18.735,18.8403,34.347,,,,62,70,1.96,,19.6,19.012,20.7534,market,pending
EDEN.PA,2026-05-05 00:00:00+02:00,21.309999465942383,21.440000534057617,20.979999542236328,21.18000030517578,550972,0.4,trend,0.6029,56.9182,20.2676,19.3147,43.4922,,,,77,75,1.9,,21.18,20.5446,22.3858,market,pending
ENGI.PA,2026-05-05 00:00:00+02:00,27.81999969482422,27.950000762939453,27.559999465942383,27.729999542236328,4755272,0.0,,0.5938,60.8789,27.1779,26.3861,14.0268,,,,57,45,1.43,,27.73,26.8981,28.9175,market,pending
EL.PA,2026-05-05 00:00:00+02:00,171.39999389648438,173.5,168.64999389648438,171.5,741287,0.0,,6.0345,23.4191,186.6907,201.554,18.0385,,,,37,90,2.35,,171.5,166.355,183.569,market,pending
