"id","created_at","ticker","quantity","entry_price","limit_price","stop_loss","take_profit","trailing_stop_distance","execution_method","scale_count","risk_amount","risk_reward","status","metadata"
"3d8cc3f7","2026-05-06T18:04:57.142181","MT.AS","18","39.7518","39.354282000000005","38.5592","41.2376","1.1926000000000059","limit","1","21.466800000000106","1.2458494046620747","executed","{""strategy"": ""cac_pullback"", ""entry_score"": 85, ""composite_score"": 72.56, ""rr_ratio"": 1.25, ""recommendation"": ""BUY"", ""timestamp"": ""2026-05-06T16:04:57.140212""}"
"88be745e","2026-05-06T18:04:57.144161","BNP.PA","10","81.92","81.1008","79.4624","84.3167","2.4575999999999993","limit","1","24.575999999999993","0.9752197265624984","cancelled","{""strategy"": ""cac_pullback"", ""entry_score"": 85, ""composite_score"": 70.88, ""rr_ratio"": 0.98, ""recommendation"": ""BUY"", ""timestamp"": ""2026-05-06T16:04:57.140228""}"
"d688e8dc","2026-05-06T18:04:57.145831","CA.PA","58","14.41","14.2659","13.9777","14.7805","0.4322999999999997","limit","1","25.07339999999998","0.8570437196391397","executed","{""strategy"": ""cac_pullback"", ""entry_score"": 78, ""composite_score"": 69.08, ""rr_ratio"": 0.86, ""recommendation"": ""BUY"", ""timestamp"": ""2026-05-06T16:04:57.140241""}"
"18894e02","2026-05-06T18:04:57.147481","RNO.PA","32","36.36","35.9964","35.2692","37.8724","1.0908000000000015","limit","1","34.90560000000005","1.386505317198384","executed","{""strategy"": ""cac_pullback"", ""entry_score"": 73, ""composite_score"": 68.64, ""rr_ratio"": 1.39, ""recommendation"": ""BUY"", ""timestamp"": ""2026-05-06T16:04:57.140252""}"
"272b6cc8","2026-05-06T18:04:57.149157","CS.PA","23","40.95","40.5405","39.7215","41.9745","1.228500000000004","limit","1","28.25550000000009","0.8339438339438282","cancelled","{""strategy"": ""cac_pullback"", ""entry_score"": 95, ""composite_score"": 66.94, ""rr_ratio"": 0.83, ""recommendation"": ""BUY"", ""timestamp"": ""2026-05-06T16:04:57.140262""}"
"b7c2220f","2026-05-06T18:04:57.150778","ACA.PA","57","17.79","17.612099999999998","17.2563","18.2021","0.5336999999999996","limit","1","30.42089999999998","0.772156642308418","cancelled","{""strategy"": ""cac_pullback"", ""entry_score"": 78, ""composite_score"": 66.76, ""rr_ratio"": 0.77, ""recommendation"": ""BUY"", ""timestamp"": ""2026-05-06T16:04:57.140272""}"
"50e1a82c","2026-05-06T18:04:57.152366","ENGI.PA","36","21.9041","21.685059","21.2469","22.4743","0.6571999999999996","limit","1","23.659199999999984","0.8676202069385274","cancelled","{""strategy"": ""cac_pullback"", ""entry_score"": 78, ""composite_score"": 65.64, ""rr_ratio"": 0.87, ""recommendation"": ""BUY"", ""timestamp"": ""2026-05-06T16:04:57.140281""}"
"736684a3","2026-05-06T18:04:57.153961","RI.PA","15","72.98","72.2502","70.7906","75.3978","2.1894000000000062","limit","1","32.84100000000009","1.1043208184890805","executed","{""strategy"": ""cac_pullback"", ""entry_score"": 67, ""composite_score"": 60.92, ""rr_ratio"": 1.1, ""recommendation"": ""HOLD"", ""timestamp"": ""2026-05-06T16:04:57.140291""}"
"553db893","2026-05-06T18:04:57.155623","ML.PA","31","28.66","28.3734","27.8002","29.3384","0.8597999999999999","limit","3","26.653799999999997","0.7890207024889508","cancelled","{""strategy"": ""cac_pullback"", ""entry_score"": 58, ""composite_score"": 60.64, ""rr_ratio"": 0.79, ""recommendation"": ""HOLD"", ""timestamp"": ""2026-05-06T16:04:57.140300""}"
"1ef81915","2026-05-06T18:04:57.157565","EDEN.PA","46","18.785","18.59715","18.2214","19.638","0.563600000000001","limit","3","25.925600000000045","1.5134847409510293","executed","{""strategy"": ""cac_pullback"", ""entry_score"": 52, ""composite_score"": 57.49, ""rr_ratio"": 1.51, ""recommendation"": ""HOLD"", ""timestamp"": ""2026-05-06T16:04:57.140309""}"
