"id","created_at","operation","ticker","quantity","price","amount","fees","stop_loss","take_profit","trailing_stop_distance","highest_price","status","status_at","notes"
"7d360375","2026-01-05T14:00:00.000000","BUY","MT.AS","18","39.354282000000005","708.38","0.0","38.5592","41.2376","","39.354282000000005","completed","2026-05-06T18:04:57.171476","Limit order 3d8cc3f7 executed @ 39.35"
"087429c4","2026-01-05T14:00:00.000000","BUY","CA.PA","58","14.2659","827.42","0.0","13.9777","14.7805","","14.2659","completed","2026-05-06T18:04:57.173374","Limit order d688e8dc executed @ 14.27"
"11a9b94f","2026-01-05T14:00:00.000000","BUY","RNO.PA","32","35.9964","1151.88","0.0","35.2692","37.8724","","35.9964","completed","2026-05-06T18:04:57.175146","Limit order 18894e02 executed @ 36.00"
"48a19412","2026-01-05T14:00:00.000000","BUY","EDEN.PA","46","18.59715","855.47","0.0","18.2214","19.638","","18.59715","completed","2026-05-06T18:04:57.177020","Limit order 1ef81915 executed @ 18.60"
"79179636","2026-01-05T14:00:00.000000","BUY","ORA.PA","55","14.1966","780.81","0.0","13.9098","14.6835","","14.1966","completed","2026-05-06T18:04:57.178771","Limit order d1a33f82 executed @ 14.20"
"4f27d065","2026-01-05T14:00:00.000000","BUY","AI.PA","10","157.41","1574.1","0.0","154.23","162.1091","","157.41","completed","2026-05-06T18:04:57.180507","Limit order b4945b24 executed @ 157.41"
"3ef13eb3","2026-01-05T14:00:00.000000","BUY","BN.PA","15","72.741735","1091.13","0.0","71.2722","75.0774","","72.741735","completed","2026-05-06T18:04:57.182344","Limit order d0a3fdc9 executed @ 72.74"
"dc8e6fbc","2026-01-05T14:00:00.000000","SELL","EDEN.PA","46","18.2214","838.18","0.0","","","","18.2214","completed","2026-05-06T18:04:57.187080","Stop loss exit @ 18.22"
"59f4631b","2026-01-05T14:00:00.000000","SELL","BN.PA","15","71.2722","1069.08","0.0","","","","71.2722","completed","2026-05-06T18:04:57.189083","Stop loss exit @ 71.27"
"1dd5c404","2026-01-06T14:00:00.000000","BUY","BNP.PA","10","81.0513","810.51","0.0","79.4139","84.3791","","81.0513","completed","2026-05-06T18:04:57.525015","Limit order c8f1aaf8 executed @ 81.05"
"6c41d57c","2026-01-06T14:00:00.000000","BUY","ACA.PA","57","17.5725","1001.63","0.0","17.2175","18.2152","","17.5725","completed","2026-05-06T18:04:57.527068","Limit order ffc721da executed @ 17.57"
"1bf8f7b8","2026-01-06T14:00:00.000000","BUY","LR.PA","10","127.314","1273.14","0.0","124.742","132.5818","","127.314","completed","2026-05-06T18:04:57.529091","Limit order 96c6524a executed @ 127.31"
"13aa956f","2026-01-06T14:00:00.000000","BUY","DSY.PA","50","23.7897","1189.48","0.0","23.3091","24.8708","","23.7897","completed","2026-05-06T18:04:57.531005","Limit order f8c30711 executed @ 23.79"
"309e570a","2026-01-06T14:00:00.000000","SELL","RNO.PA","32","35.2692","1128.61","0.0","","","","35.2692","completed","2026-05-06T18:04:57.536072","Stop loss exit @ 35.27"
"1963ad03","2026-01-06T14:00:00.000000","SELL","LR.PA","10","124.742","1247.42","0.0","","","","124.742","completed","2026-05-06T18:04:57.538385","Stop loss exit @ 124.74"
"55f3b31e","2026-01-06T14:00:00.000000","SELL","DSY.PA","50","23.3091","1165.45","0.0","","","","23.3091","completed","2026-05-06T18:04:57.540326","Stop loss exit @ 23.31"
"33da4605","2026-01-07T14:00:00.000000","BUY","RI.PA","15","72.2502","1083.75","0.0","70.7906","75.3978","","72.2502","completed","2026-05-06T18:04:57.890578","Limit order 736684a3 executed @ 72.25"
"d0582c7c","2026-01-07T14:00:00.000000","BUY","BNP.PA","10","79.76429999999999","797.64","0.0","78.1529","83.4432","","79.76429999999999","completed","2026-05-06T18:04:57.892847","Limit order 4f0e6486 executed @ 79.76"
"a03a38b8","2026-01-07T14:00:00.000000","BUY","ACA.PA","57","17.3943","991.48","0.0","17.0429","18.0798","","17.3943","completed","2026-05-06T18:04:57.895092","Limit order 1499c3b9 executed @ 17.39"
"fa783ce0","2026-01-07T14:00:00.000000","BUY","EL.PA","10","268.092","2680.92","0.0","262.676","282.794","","268.092","completed","2026-05-06T18:04:57.897156","Limit order 828de3af executed @ 268.09"
"84485543","2026-01-07T14:00:00.000000","BUY","EDEN.PA","46","18.854550000000003","867.31","0.0","18.4737","20.1466","","18.854550000000003","completed","2026-05-06T18:04:57.899172","Limit order 05552f3e executed @ 18.85"
"b71805f9","2026-01-07T14:00:00.000000","SELL","MT.AS","18","41.2376","742.28","0.0","","","","41.2376","completed","2026-05-06T18:04:57.906622","Take profit exit @ 41.24"
"8658de64","2026-01-08T14:00:00.000000","BUY","MT.AS","18","40.894425","736.1","0.0","40.0683","43.1831","","40.894425","completed","2026-05-06T18:04:58.406258","Limit order 2398765a executed @ 40.89"
"6a632241","2026-01-08T14:00:00.000000","BUY","LR.PA","10","126.225","1262.25","0.0","123.675","132.4578","","126.225","completed","2026-05-06T18:04:58.408629","Limit order 27f0e767 executed @ 126.22"
"bec78a57","2026-01-08T14:00:00.000000","SELL","MT.AS","18","40.0683","721.23","0.0","","","","40.0683","completed","2026-05-06T18:04:58.414252","Stop loss exit @ 40.07"
"76998d3c","2026-01-08T14:00:00.000000","SELL","EDEN.PA","46","18.4737","849.79","0.0","","","","18.4737","completed","2026-05-06T18:04:58.416430","Stop loss exit @ 18.47"
