ticker,date,open,high,low,close,volume,signal_score,signals,atr_14,rsi_9,ema_20,ema_50,adx_20,rsi_14,macd_12_26,ema_10,entry_score,timing_score,rr_ratio,order_qty,order_entry,order_stop,order_target,order_method,order_status
AC.PA,2026-02-19 00:00:00+01:00,50.0,50.13999938964844,47.95000076293945,48.33000183105469,1190465,0.0,,1.2668,37.9855,48.2715,47.3639,18.6296,46.6196,0.657,48.8225,80,65,1.75,,48.33,46.8801,50.8636,market,pending
AI.PA,2026-02-19 00:00:00+01:00,166.8000030517578,168.05999755859375,165.67999267578125,167.52000427246094,829915,0.4,trend,2.8742,46.8138,165.4425,163.6062,39.3347,55.6828,2.5424,167.5859,100,65,1.14,,167.52,162.4944,173.2684,market,pending
AIR.PA,2026-02-19 00:00:00+01:00,189.63593257554643,191.0890772938162,181.1526854652332,183.7055206298828,3076080,0.0,,6.0272,33.9318,191.7996,194.9681,42.4289,36.6952,-2.5351,190.0244,72,75,2.19,,183.7055,178.1944,195.7599,market,pending
MT.AS,2026-02-19 00:00:00+01:00,55.040000915527344,55.36000061035156,54.119998931884766,54.47999954223633,1388614,0.4,trend,2.2173,62.3438,50.3561,45.2803,64.0856,65.6527,3.2389,52.8484,95,70,2.71,,54.48,52.8456,58.9146,market,pending
CS.PA,2026-02-19 00:00:00+01:00,38.86000061035156,39.119998931884766,38.720001220703125,39.119998931884766,4437706,0.0,,0.6573,66.0025,38.6995,39.0344,27.461,59.1335,-0.1949,38.5811,62,70,1.12,,39.12,37.9464,40.4346,market,pending
BNP.PA,2026-02-19 00:00:00+01:00,94.31999969482422,94.87000274658203,93.61000061035156,93.83999633789062,2232573,0.4,trend,2.2322,64.0854,91.0523,86.5001,47.0635,62.7445,2.0343,92.3614,95,55,1.59,,93.84,91.0248,98.3044,market,pending
EN.PA,2026-02-19 00:00:00+01:00,48.157770968650276,48.94441154429866,48.04265381744785,48.8676643371582,524037,0.4,trend,0.8811,81.0857,46.273,44.2555,43.6315,79.1333,1.3958,47.4305,85,70,1.2,,48.8677,47.4016,50.6299,market,pending
CAP.PA,2026-02-19 00:00:00+01:00,105.44999694824219,107.69999694824219,103.05000305175781,103.94999694824219,728906,0.0,,5.2612,35.5602,115.5241,126.0942,54.8859,31.445,-9.2953,108.0109,72,70,3.37,,103.95,100.8315,114.4724,market,pending
CA.PA,2026-02-19 00:00:00+01:00,14.6899995803833,15.300000190734863,14.6850004196167,15.164999961853027,3723092,0.4,trend,0.4596,52.6083,14.8076,14.3277,32.3003,55.8499,0.3324,15.0716,93,80,2.02,,15.165,14.71,16.0841,market,pending
ACA.PA,2026-02-19 00:00:00+01:00,18.360000610351562,18.43000030517578,18.174999237060547,18.2549991607666,3314235,0.0,,0.3621,62.7974,17.9983,17.6573,17.431,59.0989,0.1402,18.09,73,55,1.32,,18.255,17.7073,18.9793,market,pending
BN.PA,2026-02-19 00:00:00+01:00,70.05581284803579,71.65985292913632,70.05581284803579,71.62120056152344,1577449,0.0,,1.5583,78.5535,69.04,70.2126,39.0489,70.4865,0.0427,69.4451,63,70,1.45,,71.6212,69.4726,74.7377,market,pending
DSY.PA,2026-02-19 00:00:00+01:00,17.295000076293945,17.614999771118164,17.204999923706055,17.540000915527344,4102478,0.0,,1.015,36.562,20.1836,22.1567,50.4811,31.8485,-1.7792,18.6017,72,85,3.86,,17.54,17.0138,19.5699,market,pending
EDEN.PA,2026-02-19 00:00:00+01:00,17.7450008392334,18.149999618530273,17.625,17.809999465942383,623990,0.0,,0.6846,48.746,17.8454,18.3165,14.42,49.5868,-0.0691,17.8339,37,85,2.56,,17.81,17.2757,19.1792,market,pending
ENGI.PA,2026-02-19 00:00:00+01:00,25.33700088191166,25.432360678019734,24.946027354821712,25.19396209716797,3696394,0.4,trend,0.5324,55.2178,24.4874,23.1474,49.0632,60.3915,0.7371,25.0212,95,75,1.41,,25.194,24.4381,26.2588,market,pending
EL.PA,2026-02-19 00:00:00+01:00,230.55121923618563,235.14270240069237,226.35049488744798,227.6204833984375,1022841,0.0,,8.9478,17.1111,247.1778,259.2072,23.5265,21.6804,-7.6804,240.9814,72,65,2.62,,227.6205,220.7919,245.5161,market,pending
