"id","created_at","operation","ticker","quantity","price","amount","fees","stop_loss","take_profit","trailing_stop_distance","highest_price","status","status_at","notes"
"2a984a87","2026-01-05T14:00:00.000000","BUY","MT.AS","18","39.354282000000005","708.38","0.0","38.5592","41.2376","","39.354282000000005","completed","2026-05-06T18:06:37.658940","Limit order 1c3718ba executed @ 39.35"
"776c53b4","2026-01-05T14:00:00.000000","BUY","CA.PA","58","14.2659","827.42","0.0","13.9777","14.7805","","14.2659","completed","2026-05-06T18:06:37.660800","Limit order 05e98b7d executed @ 14.27"
"bb6149fb","2026-01-05T14:00:00.000000","BUY","RNO.PA","32","35.9964","1151.88","0.0","35.2692","37.8724","","35.9964","completed","2026-05-06T18:06:37.662598","Limit order 8628abab executed @ 36.00"
"9de57269","2026-01-05T14:00:00.000000","BUY","EDEN.PA","46","18.59715","855.47","0.0","18.2214","19.638","","18.59715","completed","2026-05-06T18:06:37.664544","Limit order 40839b5f executed @ 18.60"
"a7af1b8b","2026-01-05T14:00:00.000000","BUY","ORA.PA","55","14.1966","780.81","0.0","13.9098","14.6835","","14.1966","completed","2026-05-06T18:06:37.666345","Limit order 883a81ab executed @ 14.20"
"dd2855e1","2026-01-05T14:00:00.000000","BUY","AI.PA","10","157.41","1574.1","0.0","154.23","162.1091","","157.41","completed","2026-05-06T18:06:37.668087","Limit order a25b4bde executed @ 157.41"
"1acf00c5","2026-01-05T14:00:00.000000","BUY","BN.PA","15","72.741735","1091.13","0.0","71.2722","75.0774","","72.741735","completed","2026-05-06T18:06:37.669914","Limit order cb640f36 executed @ 72.74"
"710515d6","2026-01-05T14:00:00.000000","SELL","EDEN.PA","46","18.2214","838.18","0.0","","","","18.2214","completed","2026-05-06T18:06:37.675125","Stop loss exit @ 18.22"
"890e42fd","2026-01-05T14:00:00.000000","SELL","BN.PA","15","71.2722","1069.08","0.0","","","","71.2722","completed","2026-05-06T18:06:37.677425","Stop loss exit @ 71.27"
"ffb967ce","2026-01-06T14:00:00.000000","BUY","BNP.PA","10","81.0513","810.51","0.0","79.4139","84.3791","","81.0513","completed","2026-05-06T18:06:38.497267","Limit order d8361c6b executed @ 81.05"
"3b9bffba","2026-01-06T14:00:00.000000","BUY","ACA.PA","57","17.5725","1001.63","0.0","17.2175","18.2152","","17.5725","completed","2026-05-06T18:06:38.499260","Limit order 46dcd0fa executed @ 17.57"
"8553c088","2026-01-06T14:00:00.000000","BUY","LR.PA","10","127.314","1273.14","0.0","124.742","132.5818","","127.314","completed","2026-05-06T18:06:38.501187","Limit order f9b11773 executed @ 127.31"
"8513126b","2026-01-06T14:00:00.000000","BUY","DSY.PA","50","23.7897","1189.48","0.0","23.3091","24.8708","","23.7897","completed","2026-05-06T18:06:38.503139","Limit order c72e95f1 executed @ 23.79"
"17a0f0b3","2026-01-06T14:00:00.000000","SELL","RNO.PA","32","35.2692","1128.61","0.0","","","","35.2692","completed","2026-05-06T18:06:38.508835","Stop loss exit @ 35.27"
"856617e0","2026-01-06T14:00:00.000000","SELL","LR.PA","10","124.742","1247.42","0.0","","","","124.742","completed","2026-05-06T18:06:38.511382","Stop loss exit @ 124.74"
"61f1ba5a","2026-01-06T14:00:00.000000","SELL","DSY.PA","50","23.3091","1165.45","0.0","","","","23.3091","completed","2026-05-06T18:06:38.513367","Stop loss exit @ 23.31"
"99796eca","2026-01-07T14:00:00.000000","BUY","RI.PA","15","72.2502","1083.75","0.0","70.7906","75.3978","","72.2502","completed","2026-05-06T18:06:39.351236","Limit order 60196dc7 executed @ 72.25"
"26612d08","2026-01-07T14:00:00.000000","BUY","BNP.PA","10","79.76429999999999","797.64","0.0","78.1529","83.4432","","79.76429999999999","completed","2026-05-06T18:06:39.353457","Limit order e0bbe328 executed @ 79.76"
"a2e34e2f","2026-01-07T14:00:00.000000","BUY","ACA.PA","57","17.3943","991.48","0.0","17.0429","18.0798","","17.3943","completed","2026-05-06T18:06:39.356040","Limit order 6ff039b2 executed @ 17.39"
"0b6d791b","2026-01-07T14:00:00.000000","BUY","EL.PA","10","268.092","2680.92","0.0","262.676","282.794","","268.092","completed","2026-05-06T18:06:39.358554","Limit order ce6ae025 executed @ 268.09"
"eab87d2d","2026-01-07T14:00:00.000000","BUY","EDEN.PA","46","18.854550000000003","867.31","0.0","18.4737","20.1466","","18.854550000000003","completed","2026-05-06T18:06:39.360666","Limit order 046e3ea3 executed @ 18.85"
"57a60512","2026-01-07T14:00:00.000000","SELL","MT.AS","18","41.2376","742.28","0.0","","","","41.2376","completed","2026-05-06T18:06:39.368447","Take profit exit @ 41.24"
"00ec718c","2026-01-08T14:00:00.000000","BUY","MT.AS","18","40.894425","736.1","0.0","40.0683","43.1831","","40.894425","completed","2026-05-06T18:06:40.207579","Limit order a555b484 executed @ 40.89"
"63e775fc","2026-01-08T14:00:00.000000","BUY","LR.PA","10","126.225","1262.25","0.0","123.675","132.4578","","126.225","completed","2026-05-06T18:06:40.210337","Limit order 26429d87 executed @ 126.22"
"9b272ce4","2026-01-08T14:00:00.000000","SELL","MT.AS","18","40.0683","721.23","0.0","","","","40.0683","completed","2026-05-06T18:06:40.215920","Stop loss exit @ 40.07"
"ee5fd1e5","2026-01-08T14:00:00.000000","SELL","EDEN.PA","46","18.4737","849.79","0.0","","","","18.4737","completed","2026-05-06T18:06:40.218107","Stop loss exit @ 18.47"
"d4a876e8","2026-01-08T14:00:00.000000","SELL","LR.PA","10","123.675","1236.75","0.0","","","","123.675","completed","2026-05-06T18:06:40.221674","Stop loss exit @ 123.67"
"f87f5556","2026-01-08T14:00:00.000000","SELL","EL.PA","10","262.676","2626.76","0.0","","","","262.676","completed","2026-05-06T18:06:40.223779","Stop loss exit @ 262.68"
"abae0adb","2026-01-08T14:00:00.000000","SELL","ORA.PA","55","14.6835","807.59","0.0","","","","14.6835","completed","2026-05-06T18:06:40.228494","Take profit exit @ 14.68"
"9c6c0ea0","2026-01-09T14:00:00.000000","BUY","CS.PA","23","40.035599999999995","920.82","0.0","39.2268","41.6083","","40.035599999999995","completed","2026-05-06T18:06:41.218061","Limit order d111ccff executed @ 40.04"
"69a13a1a","2026-01-09T14:00:00.000000","BUY","EDEN.PA","46","18.641699999999997","857.52","0.0","18.2651","20.0697","","18.641699999999997","completed","2026-05-06T18:06:41.220730","Limit order 052dde48 executed @ 18.64"
"5a8912ca","2026-01-09T14:00:00.000000","BUY","ORA.PA","55","14.46885","795.79","0.0","14.1765","15.0918","","14.46885","completed","2026-05-06T18:06:41.223227","Limit order 35978c95 executed @ 14.47"
