"id","created_at","operation","ticker","quantity","price","amount","fees","stop_loss","take_profit","trailing_stop_distance","highest_price","status","status_at","notes"
"aab5f5ac","2026-01-05T14:00:00.000000","BUY","MT.AS","18","39.354282000000005","708.38","0.0","38.5592","41.2376","","39.354282000000005","completed","2026-05-06T18:07:49.258194","Limit order 9966b611 executed @ 39.35"
"d68c8d1a","2026-01-05T14:00:00.000000","BUY","CA.PA","58","14.2659","827.42","0.0","13.9777","14.7805","","14.2659","completed","2026-05-06T18:07:49.260149","Limit order 6a8410e2 executed @ 14.27"
"3801fd4e","2026-01-05T14:00:00.000000","BUY","RNO.PA","32","35.9964","1151.88","0.0","35.2692","37.8724","","35.9964","completed","2026-05-06T18:07:49.261943","Limit order 5dbce71d executed @ 36.00"
"cf05c75f","2026-01-05T14:00:00.000000","BUY","EDEN.PA","46","18.59715","855.47","0.0","18.2214","19.638","","18.59715","completed","2026-05-06T18:07:49.263875","Limit order 9160b703 executed @ 18.60"
"7cc23861","2026-01-05T14:00:00.000000","BUY","ORA.PA","55","14.1966","780.81","0.0","13.9098","14.6835","","14.1966","completed","2026-05-06T18:07:49.265798","Limit order 37e23f8f executed @ 14.20"
"25c8bf6d","2026-01-05T14:00:00.000000","BUY","AI.PA","10","157.41","1574.1","0.0","154.23","162.1091","","157.41","completed","2026-05-06T18:07:49.267551","Limit order 84b40750 executed @ 157.41"
"f4d04ffb","2026-01-05T14:00:00.000000","BUY","BN.PA","15","72.741735","1091.13","0.0","71.2722","75.0774","","72.741735","completed","2026-05-06T18:07:49.269349","Limit order 3c7070ad executed @ 72.74"
"8765426a","2026-01-05T14:00:00.000000","SELL","EDEN.PA","46","18.2214","838.18","0.0","","","","18.2214","completed","2026-05-06T18:07:49.274516","Stop loss exit @ 18.22"
"98059fc9","2026-01-05T14:00:00.000000","SELL","BN.PA","15","71.2722","1069.08","0.0","","","","71.2722","completed","2026-05-06T18:07:49.276858","Stop loss exit @ 71.27"
"185feaa0","2026-01-06T14:00:00.000000","BUY","BNP.PA","10","81.0513","810.51","0.0","79.4139","84.3791","","81.0513","completed","2026-05-06T18:07:49.741336","Limit order 12ff9328 executed @ 81.05"
"6cdd4649","2026-01-06T14:00:00.000000","BUY","ACA.PA","57","17.5725","1001.63","0.0","17.2175","18.2152","","17.5725","completed","2026-05-06T18:07:49.743861","Limit order 373959da executed @ 17.57"
"3eca183e","2026-01-06T14:00:00.000000","BUY","LR.PA","10","127.314","1273.14","0.0","124.742","132.5818","","127.314","completed","2026-05-06T18:07:49.746256","Limit order c0bdff25 executed @ 127.31"
