"id","created_at","operation","ticker","quantity","price","amount","fees","stop_loss","take_profit","trailing_stop_distance","highest_price","status","status_at","notes"
"417a5309","2026-01-05T14:00:00.000000","BUY","MT.AS","18","39.354282000000005","708.38","0.0","36.0319","39.8714","","39.354282000000005","completed","2026-05-06T19:30:45.924777","Limit order 7d467374 executed @ 39.35"
"8d8b8c5a","2026-01-05T14:00:00.000000","SELL","MT.AS","18","39.8714","717.69","0.0","","","","39.8714","completed","2026-05-06T19:30:45.929267","Take profit exit @ 39.87"
"ce2faa0f","2026-01-07T14:00:00.000000","BUY","BNP.PA","10","79.76429999999999","797.64","0.0","75.39","82.84","","79.76429999999999","completed","2026-05-06T19:30:46.784415","Limit order 6f0ef0b2 executed @ 79.76"
"7d71eba1","2026-01-09T14:00:00.000000","SELL","BNP.PA","10","82.84","828.4","0.0","","","","82.84","completed","2026-05-06T19:30:47.836998","Take profit exit @ 82.84"
"412f1ac7","2026-01-13T14:00:00.000000","BUY","CS.PA","23","39.3525","905.11","0.0","39.21","41.39","","39.3525","completed","2026-05-06T19:30:48.735003","Limit order 1dcdc835 executed @ 39.35"
"7cad95e4","2026-01-13T14:00:00.000000","SELL","CS.PA","23","39.21","901.83","0.0","","","","39.21","completed","2026-05-06T19:30:48.738807","Stop loss exit @ 39.21"
"21556138","2026-01-20T14:00:00.000000","BUY","AIR.PA","10","204.51697199999998","2045.17","0.0","187.0438","217.285","","204.51697199999998","completed","2026-05-06T19:30:51.045518","Limit order a89887ee executed @ 204.52"
"78bf3af5","2026-01-20T14:00:00.000000","BUY","EN.PA","18","42.889572","772.01","0.0","42.0469","44.8289","","42.889572","completed","2026-05-06T19:30:51.047313","Limit order e0bf9593 executed @ 42.89"
"2a018e0e","2026-01-23T14:00:00.000000","BUY","EN.PA","18","43.003521","774.06","0.0","42.3059","44.8289","","43.003521","completed","2026-05-06T19:30:52.460364","Limit order 6ed8ffd0 executed @ 43.00"
"79b6995f","2026-01-26T14:00:00.000000","BUY","AIR.PA","10","201.017619","2010.18","0.0","190.8142","217.285","","201.017619","completed","2026-05-06T19:30:52.956724","Limit order d643ddb8 executed @ 201.02"
