"id","created_at","operation","ticker","quantity","price","amount","fees","stop_loss","take_profit","trailing_stop_distance","highest_price","status","status_at","notes"
"e96c45b3","2026-01-05T14:00:00.000000","BUY","MT.AS","18","39.354282000000005","708.38","0.0","37.7642","42.9319","","39.354282000000005","completed","2026-05-06T19:36:55.720571","Limit order f85057f8 executed @ 39.35"
"a663b805","2026-01-07T14:00:00.000000","BUY","BNP.PA","10","79.76429999999999","797.64","0.0","76.5415","87.0156","","79.76429999999999","completed","2026-05-06T19:36:56.546642","Limit order 27a2b41f executed @ 79.76"
"f03152e5","2026-01-09T14:00:00.000000","SELL","BNP.PA","10","87.0156","870.16","0.0","","","","87.0156","completed","2026-05-06T19:36:57.519149","Take profit exit @ 87.02"
"b12831aa","2026-01-13T14:00:00.000000","BUY","CS.PA","23","39.3525","905.11","0.0","37.7625","42.93","","39.3525","completed","2026-05-06T19:36:58.375815","Limit order a74574ab executed @ 39.35"
"ac52cc51","2026-01-20T14:00:00.000000","BUY","AIR.PA","10","204.51697199999998","2045.17","0.0","196.2536","223.1094","","204.51697199999998","completed","2026-05-06T19:37:00.580480","Limit order 4a31d6c6 executed @ 204.52"
"cd713249","2026-01-20T14:00:00.000000","BUY","EN.PA","18","42.889572","772.01","0.0","41.1567","46.7886","","42.889572","completed","2026-05-06T19:37:00.582273","Limit order 79f3ad2c executed @ 42.89"
"f994bec0","2026-01-21T14:00:00.000000","SELL","MT.AS","18","42.9319","772.77","0.0","","","","42.9319","completed","2026-05-06T19:37:01.031817","Take profit exit @ 42.93"
"c806d101","2026-01-23T14:00:00.000000","BUY","EN.PA","18","43.003521","774.06","0.0","41.266","46.913","","43.003521","completed","2026-05-06T19:37:01.927688","Limit order 80207ab0 executed @ 43.00"
"a5df48d6","2026-01-23T14:00:00.000000","SELL","CS.PA","23","37.7625","868.54","0.0","","","","37.7625","completed","2026-05-06T19:37:01.931602","Stop loss exit @ 37.76"
"48a27059","2026-01-26T14:00:00.000000","BUY","AIR.PA","10","201.017619","2010.18","0.0","192.8957","219.292","","201.017619","completed","2026-05-06T19:37:02.385618","Limit order 79a6cc8c executed @ 201.02"
"bc10c971","2026-01-27T14:00:00.000000","BUY","AIR.PA","10","196.740621","1967.41","0.0","188.7915","214.6262","","196.740621","completed","2026-05-06T19:37:02.839669","Limit order 1b874597 executed @ 196.74"
"2eaba95b","2026-01-28T14:00:00.000000","BUY","AIR.PA","10","193.824477","1938.24","0.0","185.9932","211.4449","","193.824477","completed","2026-05-06T19:37:03.299747","Limit order b6caff02 executed @ 193.82"
"7a6b0606","2026-02-02T14:00:00.000000","SELL","AIR.PA","40","185.9932","7439.73","0.0","","","","185.9932","completed","2026-05-06T19:37:04.710743","Stop loss exit @ 185.99"
"300c8026","2026-02-04T14:00:00.000000","BUY","MT.AS","18","48.082122","865.48","0.0","46.1394","52.4532","","48.082122","completed","2026-05-06T19:37:05.678757","Limit order 8f8a4b7e executed @ 48.08"
