ticker,date,open,high,low,close,volume,signal_score,signals,atr_14,rsi_9,ema_20,ema_50,adx_20,rsi_14,macd_12_26,ema_10,entry_score,timing_score,rr_ratio,order_qty,order_entry,order_stop,order_target,order_method,order_status
AIR.PA,2025-12-30 00:00:00+01:00,191.36399164883267,196.21436935815456,191.36399164883267,195.33070373535156,608927,0.0,volume_anomaly,3.3244,72.0215,193.2705,194.9451,36.4541,62.1916,-1.3885,192.5634,57,75,1.6,,195.3307,185.5642,210.9572,market,pending
MT.AS,2025-12-30 00:00:00+01:00,38.58493770037737,39.013770359339965,38.40542617781914,38.91404342651367,767918,0.5,"trend,volume_anomaly",0.6987,70.5823,37.7427,35.8554,29.5547,67.2374,0.8923,38.3384,95,70,1.6,,38.914,36.9683,42.0272,market,pending
CS.PA,2025-12-30 00:00:00+01:00,40.79999923706055,41.25,40.77000045776367,41.13999938964844,2165529,1.0,"momentum,trend,volume_anomaly",0.4704,67.2776,40.2322,39.6709,39.8232,70.0383,0.6511,40.7807,85,70,1.6,,41.14,39.083,44.4312,market,pending
BNP.PA,2025-12-30 00:00:00+01:00,80.25,81.37999725341797,80.19000244140625,81.0999984741211,1464283,0.5,"trend,volume_anomaly",1.1464,76.2213,78.0706,75.2734,68.555,76.1926,2.3364,79.8521,85,65,1.6,,81.1,77.045,87.588,market,pending
CA.PA,2025-12-30 00:00:00+01:00,14.204999923706055,14.265000343322754,14.135000228881836,14.21500015258789,688466,1.0,"momentum,trend,volume_anomaly",0.1858,59.1802,13.9582,13.5439,41.5646,64.5534,0.2646,14.1525,88,60,1.6,,14.215,13.5043,15.3522,market,pending
ACA.PA,2025-12-30 00:00:00+01:00,17.440000534057617,17.665000915527344,17.440000534057617,17.614999771118164,2080995,0.5,"trend,volume_anomaly",0.1886,70.0823,17.1947,16.7935,57.0752,70.8885,0.3068,17.4312,78,65,1.6,,17.615,16.7342,19.0242,market,pending
BN.PA,2025-12-30 00:00:00+01:00,74.05623734987255,74.52005836778622,73.95961012136115,74.42342376708984,521347,0.5,"momentum,volume_anomaly",0.7984,52.6842,74.3238,74.0299,18.7037,51.9416,-0.0001,74.3321,57,60,1.6,,74.4234,70.7023,80.3773,market,pending
DSY.PA,2025-12-30 00:00:00+01:00,23.649999618530273,23.969999313354492,23.610000610351562,23.8700008392334,1209263,0.5,"momentum,volume_anomaly",0.3272,69.1406,23.6925,24.4858,22.2439,61.7563,-0.1517,23.6556,47,70,1.6,,23.87,22.6765,25.7796,market,pending
EDEN.PA,2025-12-30 00:00:00+01:00,18.700000762939453,18.799999237060547,18.44499969482422,18.764999389648438,689811,0.5,"momentum,volume_anomaly",0.4475,57.6617,18.7677,19.7688,24.5794,53.791,-0.2893,18.6492,52,70,1.6,,18.765,17.8267,20.2662,market,pending
ENGI.PA,2025-12-30 00:00:00+01:00,21.265152565931245,21.39865700727325,21.21747357756134,21.37004852294922,1680801,0.0,volume_anomaly,0.2401,75.4927,20.8906,20.2566,24.0631,71.5601,0.2682,21.0831,73,65,1.6,,21.37,20.3015,23.0797,market,pending
ML.PA,2025-12-30 00:00:00+01:00,28.200000762939453,28.290000915527344,28.100000381469727,28.290000915527344,783409,0.5,"momentum,volume_anomaly",0.3376,62.1591,28.1207,28.3977,22.5115,58.1441,0.0004,28.1447,68,65,1.6,,28.29,26.8755,30.5532,market,pending
ORA.PA,2025-12-30 00:00:00+01:00,14.125,14.28499984741211,14.095000267028809,14.255000114440918,1931384,0.0,volume_anomaly,0.185,87.0739,13.9096,13.7674,13.3227,77.9954,0.1018,14.001,58,70,1.6,,14.255,13.5423,15.3954,market,pending
RI.PA,2025-12-30 00:00:00+01:00,72.69999694824219,73.22000122070312,72.63999938964844,73.05999755859375,516164,0.0,volume_anomaly,1.2968,29.0506,75.393,78.2483,21.8271,31.913,-1.4676,74.2857,67,80,1.6,,73.06,69.407,78.9048,market,pending
RNO.PA,2025-12-30 00:00:00+01:00,35.2400016784668,35.5,35.09000015258789,35.470001220703125,540048,0.0,volume_anomaly,0.7799,40.2097,35.8145,35.4468,5.9133,43.1699,0.1196,35.8187,63,85,1.6,,35.47,33.6965,38.3076,market,pending
SAN.PA,2025-12-30 00:00:00+01:00,78.11273099474487,78.785136004865,77.87596836193825,78.60519409179688,1327869,0.5,"momentum,volume_anomaly",1.3797,61.6426,78.7334,79.7803,37.8882,53.5228,-0.9337,78.047,57,70,1.6,,78.6052,74.6749,84.8936,market,pending
