"id","created_at","operation","ticker","quantity","price","amount","fees","stop_loss","take_profit","trailing_stop_distance","highest_price","status","status_at","notes"
"0e959f30","2026-01-05T14:00:00.000000","BUY","MT.AS","18","39.354282000000005","708.38","0.0","37.7642","42.9319","","39.354282000000005","completed","2026-05-06T19:43:58.860153","Limit order 4b781707 executed @ 39.35"
"65fcd97b","2026-01-07T14:00:00.000000","BUY","BNP.PA","10","79.76429999999999","797.64","0.0","76.5415","87.0156","","79.76429999999999","completed","2026-05-06T19:43:59.702633","Limit order 33525c4c executed @ 79.76"
"4b2f8d72","2026-01-09T14:00:00.000000","SELL","BNP.PA","10","87.0156","870.16","0.0","","","","87.0156","completed","2026-05-06T19:44:00.706366","Take profit exit @ 87.02"
"f108d0df","2026-01-13T14:00:00.000000","BUY","CS.PA","23","39.3525","905.11","0.0","37.7625","42.93","","39.3525","completed","2026-05-06T19:44:01.600633","Limit order 60c978a2 executed @ 39.35"
"f15e2bee","2026-01-20T14:00:00.000000","BUY","AIR.PA","10","204.51697199999998","2045.17","0.0","196.2536","223.1094","","204.51697199999998","completed","2026-05-06T19:44:03.837184","Limit order 1f3a8d2a executed @ 204.52"
"8c78aca8","2026-01-20T14:00:00.000000","BUY","EN.PA","18","42.889572","772.01","0.0","41.1567","46.7886","","42.889572","completed","2026-05-06T19:44:03.839065","Limit order 3848589c executed @ 42.89"
"7aa3c316","2026-01-21T14:00:00.000000","SELL","MT.AS","18","42.9319","772.77","0.0","","","","42.9319","completed","2026-05-06T19:44:04.300284","Take profit exit @ 42.93"
"860db41c","2026-01-23T14:00:00.000000","BUY","EN.PA","18","43.003521","774.06","0.0","41.266","46.913","","43.003521","completed","2026-05-06T19:44:05.223798","Limit order f0de9d9d executed @ 43.00"
"992536f7","2026-01-23T14:00:00.000000","SELL","CS.PA","23","37.7625","868.54","0.0","","","","37.7625","completed","2026-05-06T19:44:05.227989","Stop loss exit @ 37.76"
"d0f51685","2026-01-26T14:00:00.000000","BUY","AIR.PA","10","201.017619","2010.18","0.0","192.8957","219.292","","201.017619","completed","2026-05-06T19:44:05.696656","Limit order a4566ecb executed @ 201.02"
"e906a2c5","2026-01-27T14:00:00.000000","BUY","AIR.PA","10","196.740621","1967.41","0.0","188.7915","214.6262","","196.740621","completed","2026-05-06T19:44:06.177278","Limit order 17661ca1 executed @ 196.74"
"d339ec09","2026-01-28T14:00:00.000000","BUY","AIR.PA","10","193.824477","1938.24","0.0","185.9932","211.4449","","193.824477","completed","2026-05-06T19:44:06.647158","Limit order 058e21af executed @ 193.82"
"95dadab2","2026-02-02T14:00:00.000000","SELL","AIR.PA","40","185.9932","7439.73","0.0","","","","185.9932","completed","2026-05-06T19:44:08.101115","Stop loss exit @ 185.99"
