ticker,date,open,high,low,close,volume,signal_score,signals,atr_14,rsi_9,ema_20,ema_50,adx_20,rsi_14,macd_12_26,ema_10,entry_score,timing_score,rr_ratio,order_qty,order_entry,order_stop,order_target,order_method,order_status
AC.PA,2026-05-05 00:00:00+02:00,41.18000030517578,41.56999969482422,40.97999954223633,41.41999816894531,758292,0.0,volume_anomaly,1.1322,26.6334,42.9155,43.6612,23.9188,,-0.4537,42.455,52,85,1.6,,41.42,39.349,44.7336,market,pending
AI.PA,2026-05-05 00:00:00+02:00,178.0800018310547,179.9600067138672,177.25999450683594,179.44000244140625,680566,0.5,"trend,volume_anomaly",3.4452,34.9122,182.4288,178.0438,35.6241,,1.123,182.513,90,80,1.6,,179.44,170.468,193.7952,market,pending
AIR.PA,2026-05-05 00:00:00+02:00,176.1999969482422,180.86000061035156,174.66000366210938,177.86000061035156,1401883,0.0,volume_anomaly,5.8565,78.7206,170.3681,172.5868,17.1075,,1.5371,172.2779,65,65,1.6,,177.86,168.967,192.0888,market,pending
MT.AS,2026-05-05 00:00:00+02:00,47.61000061035156,49.58000183105469,47.529998779296875,49.58000183105469,2056545,0.0,volume_anomaly,2.1481,48.8595,49.7604,48.7864,22.7658,,0.2183,49.7452,78,80,1.6,,49.58,47.101,53.5464,market,pending
CS.PA,2026-05-05 00:00:00+02:00,40.09000015258789,40.65999984741211,39.970001220703125,40.290000915527344,2496324,0.5,"trend,volume_anomaly",0.8073,37.775,40.7729,40.1793,25.212,,0.1925,40.7875,83,80,1.6,,40.29,38.2755,43.5132,market,pending
BNP.PA,2026-05-05 00:00:00+02:00,87.27999877929688,88.91999816894531,86.62000274658203,88.77999877929688,1550414,0.5,"trend,volume_anomaly",2.5541,42.8692,89.3108,88.3177,27.2004,,0.5132,89.5786,90,80,1.6,,88.78,84.341,95.8824,market,pending
EN.PA,2026-05-05 00:00:00+02:00,49.5,50.86000061035156,49.41999816894531,50.86000061035156,739008,0.5,"momentum,volume_anomaly",1.1132,65.087,49.6996,48.5826,11.8189,,0.438,49.9839,73,65,1.6,,50.86,48.317,54.9288,market,pending
CAP.PA,2026-05-05 00:00:00+02:00,106.0,107.5999984741211,103.75,105.44999694824219,682442,0.5,"momentum,volume_anomaly",4.0486,59.7441,103.6976,106.4806,18.1247,,-0.0531,103.8454,37,50,1.6,,105.45,100.1775,113.886,market,pending
CA.PA,2026-05-05 00:00:00+02:00,16.875,16.94499969482422,16.614999771118164,16.7549991607666,2161061,0.5,"momentum,volume_anomaly",0.3113,54.9402,16.5113,15.9781,18.5671,,0.2574,16.6866,73,65,1.6,,16.755,15.9172,18.0954,market,pending
ACA.PA,2026-05-05 00:00:00+02:00,16.485000610351562,16.764999389648438,16.3799991607666,16.649999618530273,4822062,0.0,volume_anomaly,0.4202,32.0512,16.9896,17.0701,23.185,,-0.0317,16.941,52,80,1.6,,16.65,15.8175,17.982,market,pending
BN.PA,2026-05-05 00:00:00+02:00,65.41999816894531,65.41999816894531,64.22000122070312,64.45999908447266,1253693,0.0,volume_anomaly,1.1492,43.6432,65.3487,66.6293,17.7256,,-0.6357,64.8941,37,55,1.6,,64.46,61.237,69.6168,market,pending
DSY.PA,2026-05-05 00:00:00+02:00,19.25,19.639999389648438,19.219999313354492,19.600000381469727,1843752,0.0,volume_anomaly,0.5767,71.0639,18.735,18.8403,34.347,,0.3824,19.0941,78,70,1.6,,19.6,18.62,21.168,market,pending
EDEN.PA,2026-05-05 00:00:00+02:00,21.309999465942383,21.440000534057617,20.979999542236328,21.18000030517578,550972,1.0,"momentum,trend,volume_anomaly",0.6029,56.9182,20.2676,19.3147,43.4922,,0.8762,20.9843,100,75,1.6,,21.18,20.121,22.8744,market,pending
ENGI.PA,2026-05-05 00:00:00+02:00,27.81999969482422,27.950000762939453,27.559999465942383,27.729999542236328,4755272,0.5,"momentum,volume_anomaly",0.5938,60.8789,27.1779,26.3861,14.0268,,0.3058,27.3953,73,45,1.6,,27.73,26.3435,29.9484,market,pending
EL.PA,2026-05-05 00:00:00+02:00,171.39999389648438,173.5,168.64999389648438,171.5,741287,0.0,volume_anomaly,6.0345,23.4191,186.6907,201.554,18.0385,,-7.5607,180.4405,37,90,1.6,,171.5,162.925,185.22,market,pending
