"id","created_at","operation","ticker","quantity","price","amount","fees","stop_loss","take_profit","trailing_stop_distance","highest_price","status","status_at","notes"
"0a1ad0f0","2026-01-05T14:00:00.000000","BUY","MT.AS","18","39.354282000000005","708.38","0.0","37.7642","42.9319","","39.354282000000005","completed","2026-05-06T19:48:17.609130","Limit order 8a9b68fe executed @ 39.35"
"a39d4e39","2026-01-07T14:00:00.000000","BUY","BNP.PA","10","79.76429999999999","797.64","0.0","76.5415","87.0156","","79.76429999999999","completed","2026-05-06T19:48:18.476413","Limit order 289bf217 executed @ 79.76"
"585f54cb","2026-01-09T14:00:00.000000","SELL","BNP.PA","10","87.0156","870.16","0.0","","","","87.0156","completed","2026-05-06T19:48:19.514677","Take profit exit @ 87.02"
"67be5348","2026-01-13T14:00:00.000000","BUY","CS.PA","23","39.3525","905.11","0.0","37.7625","42.93","","39.3525","completed","2026-05-06T19:48:20.413901","Limit order 87bfbe8d executed @ 39.35"
"faed8782","2026-01-20T14:00:00.000000","BUY","AIR.PA","10","204.51697199999998","2045.17","0.0","196.2536","223.1094","","204.51697199999998","completed","2026-05-06T19:48:22.800579","Limit order f0bb242c executed @ 204.52"
"a5dfb6ed","2026-01-20T14:00:00.000000","BUY","EN.PA","18","42.889572","772.01","0.0","41.1567","46.7886","","42.889572","completed","2026-05-06T19:48:22.802497","Limit order fb072f56 executed @ 42.89"
"0a06565e","2026-01-21T14:00:00.000000","SELL","MT.AS","18","42.9319","772.77","0.0","","","","42.9319","completed","2026-05-06T19:48:23.285525","Take profit exit @ 42.93"
"1250000a","2026-01-23T14:00:00.000000","BUY","EN.PA","18","43.003521","774.06","0.0","41.266","46.913","","43.003521","completed","2026-05-06T19:48:24.264779","Limit order df7e9612 executed @ 43.00"
"466fb746","2026-01-23T14:00:00.000000","SELL","CS.PA","23","37.7625","868.54","0.0","","","","37.7625","completed","2026-05-06T19:48:24.269237","Stop loss exit @ 37.76"
"4caa4284","2026-01-26T14:00:00.000000","BUY","AIR.PA","10","201.017619","2010.18","0.0","192.8957","219.292","","201.017619","completed","2026-05-06T19:48:24.765606","Limit order 370526e0 executed @ 201.02"
"29e33c90","2026-01-27T14:00:00.000000","BUY","AIR.PA","10","196.740621","1967.41","0.0","188.7915","214.6262","","196.740621","completed","2026-05-06T19:48:25.271198","Limit order 21bf1728 executed @ 196.74"
"6e668433","2026-01-28T14:00:00.000000","BUY","AIR.PA","10","193.824477","1938.24","0.0","185.9932","211.4449","","193.824477","completed","2026-05-06T19:48:25.766699","Limit order 67947b33 executed @ 193.82"
"d14b8116","2026-02-02T14:00:00.000000","SELL","AIR.PA","40","185.9932","7439.73","0.0","","","","185.9932","completed","2026-05-06T19:48:27.304565","Stop loss exit @ 185.99"
"f0561c5a","2026-02-04T14:00:00.000000","BUY","MT.AS","18","48.082122","865.48","0.0","46.1394","52.4532","","48.082122","completed","2026-05-06T19:48:28.336512","Limit order 3bc18361 executed @ 48.08"
