ticker,date,open,high,low,close,volume,signal_score,signals,atr_14,rsi_9,ema_20,ema_50,adx_20,rsi_14,macd_12_26,ema_10,entry_score,timing_score,rr_ratio,order_qty,order_entry,order_stop,order_target,order_method,order_status
AI.PA,2026-01-09,155.86000061035156,159.22000122070312,155.16000366210938,158.8000030517578,937800,0.5,"momentum,volume_anomaly",2.2015,57.7881,159.3755,163.0714,41.1681,51.3066,-1.7757,158.15,57,65,1.6,,158.8,150.86,171.504,market,pending
AIR.PA,2026-01-09,210.51021288393588,211.54116611269876,208.15376120272452,211.19752502441406,1021737,0.5,"trend,volume_anomaly",3.9655,93.0035,199.863,197.5776,37.8242,86.3764,3.513,203.7114,85,55,1.6,,211.1975,200.6376,228.0933,market,pending
MT.AS,2026-01-09,40.39002449133828,40.54958986801941,39.97116680417734,40.27035140991211,1515640,1.0,"momentum,trend,volume_anomaly",0.9647,60.9658,38.8787,36.8541,39.3314,62.9648,1.0481,39.6516,95,80,1.6,,40.2704,38.2568,43.492,market,pending
CS.PA,2026-01-09,40.369998931884766,40.38999938964844,39.66999816894531,39.9900016784668,4296369,0.5,"trend,volume_anomaly",0.6089,22.2823,40.371,39.8846,40.7236,32.8151,0.3037,40.528,98,80,1.6,,39.99,37.9905,43.1892,market,pending
BNP.PA,2026-01-09,84.62999725341797,87.2699966430664,84.36000061035156,87.19999694824219,7020926,0.5,"trend,volume_anomaly",2.102,84.1651,80.2319,76.9618,68.7113,81.3552,2.3171,81.9884,85,70,1.6,,87.2,82.84,94.176,market,pending
EN.PA,2026-01-09,44.26293516400605,44.282121964546896,42.93907520275196,43.42832946777344,814955,0.5,"trend,volume_anomaly",0.7546,49.2881,42.8086,41.3218,48.0828,55.1676,0.7906,43.3924,100,75,1.6,,43.4283,41.2569,46.9026,market,pending
CA.PA,2026-01-09,14.444999694824219,14.460000038146973,14.010000228881836,14.244999885559082,2058231,0.5,"trend,volume_anomaly",0.2707,48.7501,14.1191,13.7229,44.2104,53.0215,0.1991,14.2478,93,50,1.6,,14.245,13.5327,15.3846,market,pending
ACA.PA,2026-01-09,17.600000381469727,17.684999465942383,17.389999389648438,17.684999465942383,2877606,1.0,"momentum,trend,volume_anomaly",0.2798,59.5794,17.3983,16.9911,58.1478,59.7738,0.2352,17.5547,93,70,1.6,,17.685,16.8007,19.0998,market,pending
BN.PA,2026-01-09,73.45713861143278,74.32679843458956,73.36051138045651,74.23017120361328,690316,0.5,"momentum,volume_anomaly",1.1369,63.4243,73.77,73.8285,15.1333,57.3051,-0.2745,73.5346,42,65,1.6,,74.2302,70.5187,80.1686,market,pending
DSY.PA,2026-01-09,24.260000228881836,24.90999984741211,24.200000762939453,24.75,2290882,0.0,volume_anomaly,0.5023,75.9122,23.8776,24.372,17.5694,71.0189,0.0618,24.0123,43,70,1.6,,24.75,23.5125,26.73,market,pending
EDEN.PA,2026-01-09,18.790000915527344,19.020000457763672,18.540000915527344,18.610000610351562,629025,0.0,volume_anomaly,0.6012,43.2867,18.766,19.5244,15.0095,46.1793,-0.1417,18.7307,37,70,1.6,,18.61,17.6795,20.0988,market,pending
ENGI.PA,2026-01-09,22.600185894962845,22.73368851645574,22.36178731724736,22.705080032348633,3860412,0.5,"trend,volume_anomaly",0.3622,93.1491,21.5805,20.7334,37.799,89.1941,0.5352,22.0321,85,70,1.6,,22.7051,21.5698,24.5215,market,pending
EL.PA,2026-01-09,263.0823769280592,272.55843479412493,263.0823769280592,271.48382568359375,833678,0.5,"momentum,volume_anomaly",6.8094,65.0214,271.0783,279.2397,53.2067,56.9556,-6.2578,267.0107,57,70,1.6,,271.4838,257.9096,293.2025,market,pending
OR.PA,2026-01-09,372.6786286712741,378.4159240722656,365.6173374193456,378.4159240722656,553181,0.0,volume_anomaly,9.1559,75.1232,360.9025,361.6253,23.0779,70.2177,0.1966,361.2697,58,70,1.6,,378.4159,359.4951,408.6892,market,pending
ML.PA,2026-01-09,29.5,29.780000686645508,29.40999984741211,29.770000457763672,2085804,0.5,"trend,volume_anomaly",0.3959,94.3167,28.6585,28.5773,31.5225,87.8638,0.3367,28.9979,78,75,1.6,,29.77,28.2815,32.1516,market,pending
