Name,ISIN,Symbol,Market,Currency,size,TickerYahoo,index
AALBERTS NV,NL0000852564,AALB,Euronext Amsterdam,EUR,large-cap,AALB.AS,
AB INBEV,BE0974293251,ABI,Euronext Brussels,EUR,large-cap,ABI.BR,
ABN AMRO BANK N.V.,NL0011540547,ABN,Euronext Amsterdam,EUR,large-cap,ABN.AS,
ACCOR,FR0000120404,AC,Euronext Paris,EUR,large-cap,AC.PA,
ACKERMANS V.HAAREN,BE0003764785,ACKB,Euronext Brussels,EUR,large-cap,ACKB.BR,
ADP,FR0010340141,ADP,Euronext Paris,EUR,large-cap,ADP.PA,
ADYEN,NL0012969182,ADYEN,Euronext Amsterdam,EUR,large-cap,ADYEN.AS,
AEDIFICA,BE0003851681,AED,Euronext Brussels,EUR,large-cap,AED.BR,
AEGON,BMG0112X1056,AGN,Euronext Amsterdam,EUR,large-cap,AGN.AS,
AGEAS,BE0974264930,AGS,Euronext Brussels,EUR,large-cap,AGS.BR,
AHOLD DEL,NL0011794037,AD,Euronext Amsterdam,EUR,large-cap,AD.AS,
AIR FRANCE -KLM,FR001400J770,AF,Euronext Paris,EUR,large-cap,AF.PA,
AIR LIQUIDE,FR0000120073,AI,Euronext Paris,EUR,large-cap,AI.PA,
AIRBUS,NL0000235190,AIR,Euronext Paris,EUR,large-cap,AIR.PA,
AKZO NOBEL,NL0013267909,AKZA,Euronext Amsterdam,EUR,large-cap,AKZA.AS,
ALLFUNDS GROUP,GB00BNTJ3546,ALLFG,Euronext Amsterdam,EUR,large-cap,ALLFG.AS,
ALSTOM,FR0010220475,ALO,Euronext Paris,EUR,large-cap,ALO.PA,
ALTAREA,FR0000033219,ALTA,Euronext Paris,EUR,large-cap,ALTA.PA,
ALTEN,FR0000071946,ATE,Euronext Paris,EUR,large-cap,ATE.PA,
AMUNDI,FR0004125920,AMUN,Euronext Paris,EUR,large-cap,AMUN.PA,
ANTIN INFRA PARTN,FR0014005AL0,ANTIN,Euronext Paris,EUR,large-cap,ANTIN.PA,
APERAM,LU0569974404,APAM,Euronext Amsterdam,EUR,large-cap,APAM.AS,
ARCADIS,NL0006237562,ARCAD,Euronext Amsterdam,EUR,large-cap,ARCAD.AS,
ARCELORMITTAL SA,LU1598757687,MT,Euronext Amsterdam,EUR,large-cap,MT.AS,
ARGAN,FR0010481960,ARG,Euronext Paris,EUR,large-cap,ARG.PA,
ARGENX SE,NL0010832176,ARGX,Euronext Brussels,EUR,large-cap,ARGX.BR,
ARKEMA,FR0010313833,AKE,Euronext Paris,EUR,large-cap,AKE.PA,
ARTOIS NOM.,FR0000076952,ARTO,Euronext Paris,EUR,large-cap,ARTO.PA,
ASM INTERNATIONAL,NL0000334118,ASM,Euronext Amsterdam,EUR,large-cap,ASM.AS,
ASML HOLDING,NL0010273215,ASML,Euronext Amsterdam,EUR,large-cap,ASML.AS,
ASR NEDERLAND,NL0011872643,ASRNL,Euronext Amsterdam,EUR,large-cap,ASRNL.AS,
ATOS,FR0000051732,ATO,Euronext Paris,EUR,large-cap,ATO.PA,
AXA,FR0000120628,CS,Euronext Paris,EUR,large-cap,CS.PA,
AYVENS,FR0013258662,AYV,Euronext Paris,EUR,large-cap,AYV.PA,
AZELIS GROUP,BE0974400328,AZE,Euronext Brussels,EUR,large-cap,AZE.BR,
BAINS MER MONACO,MC0000031187,BAIN,Euronext Paris,EUR,large-cap,BAIN.PA,
BAM GROEP KON,NL0000337319,BAMNB,Euronext Amsterdam,EUR,large-cap,BAMNB.AS,
BANIJAY GROUP,NL0015000X07,BNJ,Euronext Amsterdam,EUR,large-cap,BNJ.AS,
BARCO,BE0974362940,BAR,Euronext Brussels,EUR,large-cap,BAR.BR,
BASIC-FIT,NL0011872650,BFIT,Euronext Amsterdam,EUR,large-cap,BFIT.AS,
BE SEMICONDUCTOR,NL0012866412,BESI,Euronext Amsterdam,EUR,large-cap,BESI.AS,
BEKAERT,BE0974258874,BEKB,Euronext Brussels,EUR,large-cap,BEKB.BR,
BELIEVE,FR0014003FE9,BLV,Euronext Paris,EUR,large-cap,BLV.PA,
BIC,FR0000120966,BB,Euronext Paris,EUR,large-cap,BB.PA,
BIOMERIEUX,FR0013280286,BIM,Euronext Paris,EUR,large-cap,BIM.PA,
BNP PARIBAS ACT.A,FR0000131104,BNP,Euronext Paris,EUR,large-cap,BNP.PA,
BOLLORE,FR0000039299,BOL,Euronext Paris,EUR,large-cap,BOL.PA,
BOUYGUES,FR0000120503,EN,Euronext Paris,EUR,large-cap,EN.PA,
BREDERODE,LU1068091351,BREB,Euronext Brussels,EUR,large-cap,BREB.BR,
BUREAU VERITAS,FR0006174348,BVI,Euronext Paris,EUR,large-cap,BVI.PA,
CAMBODGE NOM.,FR001400SUB7,CBDG,Euronext Paris,EUR,large-cap,CBDG.PA,
CAPGEMINI,FR0000125338,CAP,Euronext Paris,EUR,large-cap,CAP.PA,
CARMILA,FR0010828137,CARM,Euronext Paris,EUR,large-cap,CARM.PA,
CARREFOUR,FR0000120172,CA,Euronext Paris,EUR,large-cap,CA.PA,
CENERGY,BE0974303357,CENER,Euronext Brussels,EUR,large-cap,CENER.BR,
CHRISTIAN DIOR,FR0000130403,CDI,Euronext Paris,EUR,large-cap,CDI.PA,
CMB.TECH,BE0003816338,CMBT,Euronext Brussels,EUR,large-cap,CMBT.BR,
Coca-ColaEuropacif,GB00BDCPN049,CCEP,Euronext Amsterdam,EUR,large-cap,CCEP.AS,
COFACE,FR0010667147,COFA,Euronext Paris,EUR,large-cap,COFA.PA,
COFINIMMO,BE0003593044,COFB,Euronext Brussels,EUR,large-cap,COFB.BR,
COLRUYT,BE0974256852,COLR,Euronext Brussels,EUR,large-cap,COLR.BR,
COMPAGNIE ODET,FR0000062234,ODET,Euronext Paris,EUR,large-cap,ODET.PA,
CORBION,NL0010583399,CRBN,Euronext Amsterdam,EUR,large-cap,CRBN.AS,
COTY,US2220702037,COTY,Euronext Paris,EUR,large-cap,COTY.PA,
COVIVIO,FR0000064578,COV,Euronext Paris,EUR,large-cap,COV.PA,
COVIVIO HOTELS,FR0000060303,COVH,Euronext Paris,EUR,large-cap,COVH.PA,
CREDIT AGRICOLE,FR0000045072,ACA,Euronext Paris,EUR,large-cap,ACA.PA,
CTP,NL00150006R6,CTPNV,Euronext Amsterdam,EUR,large-cap,CTPNV.AS,
CVC CAPITAL,JE00BRX98089,CVC,Euronext Amsterdam,EUR,large-cap,CVC.AS,
D'IETEREN GROUP,BE0974259880,DIE,Euronext Brussels,EUR,large-cap,DIE.BR,
DANONE,FR0000120644,BN,Euronext Paris,EUR,large-cap,BN.PA,
DASSAULT AVIATION,FR0014004L86,AM,Euronext Paris,EUR,large-cap,AM.PA,
DASSAULT SYSTEMES,FR0014003TT8,DSY,Euronext Paris,EUR,large-cap,DSY.PA,
DEME GROUP,BE0974413453,DEME,Euronext Brussels,EUR,large-cap,DEME.BR,
DSM FIRMENICH AG,CH1216478797,DSFIR,Euronext Amsterdam,EUR,large-cap,DSFIR.AS,
EDENRED,FR0010908533,EDEN,Euronext Paris,EUR,large-cap,EDEN.PA,
EIFFAGE,FR0000130452,FGR,Euronext Paris,EUR,large-cap,FGR.PA,
ELIA GROUP,BE0003822393,ELI,Euronext Brussels,EUR,large-cap,ELI.BR,
ELIS,FR0012435121,ELIS,Euronext Paris,EUR,large-cap,ELIS.PA,
ENGIE,FR0010208488,ENGI,Euronext Paris,EUR,large-cap,ENGI.PA,
ERAMET,FR0000131757,ERA,Euronext Paris,EUR,large-cap,ERA.PA,
ESSILORLUXOTTICA,FR0000121667,EL,Euronext Paris,EUR,large-cap,EL.PA,
ESSO,FR0000120669,ES,Euronext Paris,EUR,large-cap,ES.PA,
EURAZEO,FR0000121121,RF,Euronext Paris,EUR,large-cap,RF.PA,
EUROCOMMERCIAL,NL0015000K93,ECMPA,Euronext Amsterdam,EUR,large-cap,ECMPA.AS,
EUROFINS SCIENT.,FR0014000MR3,ERF,Euronext Paris,EUR,large-cap,ERF.PA,
EURONEXT,NL0006294274,ENX,Euronext Paris,EUR,large-cap,ENX.PA,
EUTELSAT COMMUNIC.,FR0010221234,ETL,Euronext Paris,EUR,large-cap,ETL.PA,
EXOR NV,NL0012059018,EXO,Euronext Amsterdam,EUR,large-cap,EXO.AS,
EXOSENS,FR001400Q9V2,EXENS,Euronext Paris,EUR,large-cap,EXENS.PA,
FAGRON,BE0003874915,FAGR,Euronext Brussels,EUR,large-cap,FAGR.BR,
FDJ UNITED,FR0013451333,FDJU,Euronext Paris,EUR,large-cap,FDJU.PA,
FERROVIAL,NL0015001FS8,FER,Euronext Amsterdam,EUR,large-cap,FER.AS,
FONCIERE LYONNAISE,FR0000033409,FLY,Euronext Paris,EUR,large-cap,FLY.PA,
FORVIA,FR0000121147,FRVIA,Euronext Paris,EUR,large-cap,FRVIA.PA,
FUGRO,NL00150003E1,FUR,Euronext Amsterdam,EUR,large-cap,FUR.AS,
GALAPAGOS,BE0003818359,GLPG,Euronext Amsterdam,EUR,large-cap,GLPG.AS,
GBL,BE0003797140,GBLB,Euronext Brussels,EUR,large-cap,GBLB.BR,
GECINA,FR0010040865,GFC,Euronext Paris,EUR,large-cap,GFC.PA,
GETLINK SE,FR0010533075,GET,Euronext Paris,EUR,large-cap,GET.PA,
GIMV,BE0003699130,GIMB,Euronext Brussels,EUR,large-cap,GIMB.BR,
GTT,FR0011726835,GTT,Euronext Paris,EUR,large-cap,GTT.PA,
HAL TRUST,BMG455841020,HAL,Euronext Amsterdam,EUR,large-cap,HAL.AS,
HAVAS,NL0015002AH0,HAVAS,Euronext Amsterdam,EUR,large-cap,HAVAS.AS,
HEINEKEN,NL0000009165,HEIA,Euronext Amsterdam,EUR,large-cap,HEIA.AS,
HEINEKEN HOLDING,NL0000008977,HEIO,Euronext Amsterdam,EUR,large-cap,HEIO.AS,
HERMES INTL,FR0000052292,RMS,Euronext Paris,EUR,large-cap,RMS.PA,
ICADE,FR0000035081,ICAD,Euronext Paris,EUR,large-cap,ICAD.PA,
ID LOGISTICS GROUP,FR0010929125,IDL,Euronext Paris,EUR,large-cap,IDL.PA,
IMCD,NL0010801007,IMCD,Euronext Amsterdam,EUR,large-cap,IMCD.AS,
IMERYS,FR0000120859,NK,Euronext Paris,EUR,large-cap,NK.PA,
ING GROEP N.V.,NL0011821202,INGA,Euronext Amsterdam,EUR,large-cap,INGA.AS,
INPOST,LU2290522684,INPST,Euronext Amsterdam,EUR,large-cap,INPST.AS,
INTERPARFUMS,FR0004024222,ITP,Euronext Paris,EUR,large-cap,ITP.PA,
IPSEN,FR0010259150,IPN,Euronext Paris,EUR,large-cap,IPN.PA,
IPSOS,FR0000073298,IPS,Euronext Paris,EUR,large-cap,IPS.PA,
JCDECAUX,FR0000077919,DEC,Euronext Paris,EUR,large-cap,DEC.PA,
JDE PEET'S,NL0014332678,JDEP,Euronext Amsterdam,EUR,large-cap,JDEP.AS,
JUST EAT TAKEAWAY,NL0012015705,TKWY,Euronext Amsterdam,EUR,large-cap,TKWY.AS,
KBC,BE0003565737,KBC,Euronext Brussels,EUR,large-cap,KBC.BR,
KBC ANCORA,BE0003867844,KBCA,Euronext Brussels,EUR,large-cap,KBCA.BR,
KERING,FR0000121485,KER,Euronext Paris,EUR,large-cap,KER.PA,
KINEPOLIS GROUP,BE0974274061,KIN,Euronext Brussels,EUR,large-cap,KIN.BR,
KLEPIERRE,FR0000121964,LI,Euronext Paris,EUR,large-cap,LI.PA,
KPN KON,NL0000009082,KPN,Euronext Amsterdam,EUR,large-cap,KPN.AS,
L'OREAL,FR0000120321,OR,Euronext Paris,EUR,large-cap,OR.PA,
LAGARDERE SA,FR0000130213,MMB,Euronext Paris,EUR,large-cap,MMB.PA,
LDC,FR001400SF56,LOUP,Euronext Paris,EUR,large-cap,LOUP.PA,
LECTRA,FR0000065484,LSS,Euronext Paris,EUR,large-cap,LSS.PA,
LEGRAND,FR0010307819,LR,Euronext Paris,EUR,large-cap,LR.PA,
LISI,FR0000050353,FII,Euronext Paris,EUR,large-cap,FII.PA,
LOTUS BAKERIES,BE0003604155,LOTB,Euronext Brussels,EUR,large-cap,LOTB.BR,
LVMH,FR0000121014,MC,Euronext Paris,EUR,large-cap,MC.PA,
MAROC TELECOM,MA0000011488,IAM,Euronext Paris,EUR,large-cap,IAM.PA,
MAUREL ET PROM,FR0000051070,MAU,Euronext Paris,EUR,large-cap,MAU.PA,
MELEXIS,BE0165385973,MELE,Euronext Brussels,EUR,large-cap,MELE.BR,
MERCIALYS,FR0010241638,MERY,Euronext Paris,EUR,large-cap,MERY.PA,
METROPOLE TV,FR0000053225,MMT,Euronext Paris,EUR,large-cap,MMT.PA,
MICHELIN,FR001400AJ45,ML,Euronext Paris,EUR,large-cap,ML.PA,
MONCEY (FIN.) NOM.,FR001400SU99,FMONC,Euronext Paris,EUR,large-cap,FMONC.PA,
MONTEA,BE0003853703,MONT,Euronext Brussels,EUR,large-cap,MONT.BR,
NEPI ROCKCASTLE,NL0015000RT3,NRP,Euronext Amsterdam,EUR,large-cap,NRP.AS,
NEURONES,FR0004050250,NRO,Euronext Paris,EUR,large-cap,NRO.PA,
NEXANS,FR0000044448,NEX,Euronext Paris,EUR,large-cap,NEX.PA,
NN GROUP,NL0010773842,NN,Euronext Amsterdam,EUR,large-cap,NN.AS,
NOKIA,FI0009000681,NOKIA,Euronext Paris,EUR,large-cap,NOKIA.PA,
OCI,NL0010558797,OCI,Euronext Amsterdam,EUR,large-cap,OCI.AS,
OPMOBILITY,FR0000124570,OPM,Euronext Paris,EUR,large-cap,OPM.PA,
ORANGE,FR0000133308,ORA,Euronext Paris,EUR,large-cap,ORA.PA,
OVH,FR0014005HJ9,OVH,Euronext Paris,EUR,large-cap,OVH.PA,
PERNOD RICARD,FR0000120693,RI,Euronext Paris,EUR,large-cap,RI.PA,
PEUGEOT INVEST,FR0000064784,PEUG,Euronext Paris,EUR,large-cap,PEUG.PA,
PHILIPS KON,NL0000009538,PHIA,Euronext Amsterdam,EUR,large-cap,PHIA.AS,
PLANISWARE,FR001400PFU4,PLNW,Euronext Paris,EUR,large-cap,PLNW.PA,
PLUXEE,NL0015001W49,PLX,Euronext Paris,EUR,large-cap,PLX.PA,
PROSUS,NL0013654783,PRX,Euronext Amsterdam,EUR,large-cap,PRX.AS,
PROXIMUS,BE0003810273,PROX,Euronext Brussels,EUR,large-cap,PROX.BR,
PUBLICIS GROUPE SA,FR0000130577,PUB,Euronext Paris,EUR,large-cap,PUB.PA,
RAMSAY GEN SANTE,FR0000044471,GDS,Euronext Paris,EUR,large-cap,GDS.PA,
RANDSTAD NV,NL0000379121,RAND,Euronext Amsterdam,EUR,large-cap,RAND.AS,
REINET INVESTMENTS,LU0383812293,REINA,Euronext Amsterdam,EUR,large-cap,REINA.AS,
RELX,GB00B2B0DG97,REN,Euronext Amsterdam,EUR,large-cap,REN.AS,
REMY COINTREAU,FR0000130395,RCO,Euronext Paris,EUR,large-cap,RCO.PA,
RENAULT,FR0000131906,RNO,Euronext Paris,EUR,large-cap,RNO.PA,
REXEL,FR0010451203,RXL,Euronext Paris,EUR,large-cap,RXL.PA,
ROBERTET,FR0000039091,RBT,Euronext Paris,EUR,large-cap,RBT.PA,
ROBERTET CDV 87,FR0000045619,CBR,Euronext Paris,EUR,large-cap,CBR.PA,
ROBERTET CI,FR0000045601,CBE,Euronext Paris,EUR,large-cap,CBE.PA,
RUBIS,FR0013269123,RUI,Euronext Paris,EUR,large-cap,RUI.PA,
S.E.B.,FR0000121709,SK,Euronext Paris,EUR,large-cap,SK.PA,
SAFRAN,FR0000073272,SAF,Euronext Paris,EUR,large-cap,SAF.PA,
SAINT GOBAIN,FR0000125007,SGO,Euronext Paris,EUR,large-cap,SGO.PA,
SANOFI,FR0000120578,SAN,Euronext Paris,EUR,large-cap,SAN.PA,
SARTORIUS STED BIO,FR0013154002,DIM,Euronext Paris,EUR,large-cap,DIM.PA,
SBM OFFSHORE,NL0000360618,SBMO,Euronext Amsterdam,EUR,large-cap,SBMO.AS,
SCHNEIDER ELECTRIC,FR0000121972,SU,Euronext Paris,EUR,large-cap,SU.PA,
SCOR SE,FR0010411983,SCR,Euronext Paris,EUR,large-cap,SCR.PA,
SEGRO PLC,GB00B5ZN1N88,SGRO,Euronext Paris,EUR,large-cap,SGRO.PA,
SES,LU0088087324,SESG,Euronext Paris,EUR,large-cap,SESG.PA,
SHELL PLC,GB00BP6MXD84,SHELL,Euronext Amsterdam,EUR,large-cap,SHELL.AS,
SHURGARD,GG00BQZCBZ44,SHUR,Euronext Brussels,EUR,large-cap,SHUR.BR,
SIGNIFY NV,NL0011821392,LIGHT,Euronext Amsterdam,EUR,large-cap,LIGHT.AS,
SOCIETE GENERALE,FR0000130809,GLE,Euronext Paris,EUR,large-cap,GLE.PA,
SODEXO,FR0000121220,SW,Euronext Paris,EUR,large-cap,SW.PA,
SOFINA,BE0003717312,SOF,Euronext Brussels,EUR,large-cap,SOF.BR,
SOITEC,FR0013227113,SOI,Euronext Paris,EUR,large-cap,SOI.PA,
SOLVAC NOM(RETAIL),BE0003545531,SOLV,Euronext Brussels,EUR,large-cap,SOLV.BR,
SOLVAY,BE0003470755,SOLB,Euronext Brussels,EUR,large-cap,SOLB.BR,
SOPRA STERIA GROUP,FR0000050809,SOP,Euronext Paris,EUR,large-cap,SOP.PA,
SPIE,FR0012757854,SPIE,Euronext Paris,EUR,large-cap,SPIE.PA,
STEF,FR0000064271,STF,Euronext Paris,EUR,large-cap,STF.PA,
STELLANTIS NV,NL00150001Q9,STLAP,Euronext Paris,EUR,large-cap,STLAP.PA,
STMICROELECTRONICS,NL0000226223,STMPA,Euronext Paris,EUR,large-cap,STMPA.PA,
SYENSQO,BE0974464977,SYENS,Euronext Brussels,EUR,large-cap,SYENS.BR,
TECHNIP ENERGIES,NL0014559478,TE,Euronext Paris,EUR,large-cap,TE.PA,
TELEPERFORMANCE,FR0000051807,TEP,Euronext Paris,EUR,large-cap,TEP.PA,
