,TickerYahoo,Name,Market Cap,Country,IPO Year,Industry
0,AAOI,Applied Optoelectronics Inc. Common Stock,466117037.00,United States,2013,Semiconductors
0,AAPL,Apple Inc. Common Stock,2930639017983.00,United States,1980,Computer Manufacturing
0,ABTS,Abits Group Inc Ordinary Shares,24148737.00,China,,Computer Software: Programming Data Processing
0,ACIW,ACI Worldwide Inc. Common Stock,3689338322.00,United States,,EDP Services
0,ACLS,Axcelis Technologies Inc. Common Stock,3694715798.00,United States,2000,Industrial Machinery/Components
0,ACMR,ACM Research Inc. Class A Common Stock,1403254346.00,United States,2017,Industrial Machinery/Components
0,ACN,Accenture plc Class A Ordinary Shares (Ireland),185291111683.00,Ireland,2001,EDP Services
0,ADBE,Adobe Inc. Common Stock,213801280000.00,United States,1986,Computer Software: Prepackaged Software
0,ADEA,Adeia Inc. Common Stock,1242410280.00,United States,2003,Computer Software: Prepackaged Software
0,ADI,Analog Devices Inc. Common Stock,113817260490.00,United States,,Semiconductors
0,ADP,Automatic Data Processing Inc. Common Stock,98545074006.00,United States,,EDP Services
0,ADSK,Autodesk Inc. Common Stock,44622736795.00,United States,,Computer Software: Prepackaged Software
0,AEIS,Advanced Energy Industries Inc. Common Stock,3932602580.00,United States,1995,Industrial Machinery/Components
0,AEYE,AudioEye Inc. Common Stock,300983014.00,United States,,EDP Services
0,AGMH,AGM Group Holdings Inc. Class A Ordinary Shares,26618390.00,Hong Kong,2018,EDP Services
0,AGYS,Agilysys Inc. Common Stock (DE),2669647672.00,United States,,EDP Services
0,AI,C3.ai Inc. Class A Common Stock,2965199787.00,United States,2020,Computer Software: Prepackaged Software
0,AILE,iLearningEngines Inc. Common Stock,850875984.00,United States,2021,Computer Software: Prepackaged Software
0,AIP,Arteris Inc. Common Stock,309756932.00,United States,2021,Semiconductors
0,AIRG,Airgain Inc. Common Stock,56042615.00,United States,2016,Radio And Television Broadcasting And Communications Equipment
0,AISP,Airship AI Holdings Inc. Class A Common Stock,88236243.00,United States,2021,Computer Software: Prepackaged Software
0,AIXI,XIAO-I Corporation American Depositary Shares,66283034.00,China,2023,Computer Software: Prepackaged Software
0,ALAB,Astera Labs Inc. Common Stock,10559895786.00,United States,2024,Semiconductors
0,ALAR,Alarum Technologies Ltd. American Depositary Share,235444030.00,Israel,2018,Computer Software: Prepackaged Software
0,ALGM,Allegro MicroSystems Inc. Common Stock,5791131606.00,United States,2020,Semiconductors
0,ALIT,Alight Inc. Class A Common Stock,4320667720.00,United States,2021,EDP Services
0,ALKT,Alkami Technology Inc. Common Stock,2805520446.00,United States,2021,Computer Software: Prepackaged Software
0,ALOT,AstroNova Inc. Common Stock,138215049.00,United States,1983,Computer peripheral equipment
0,ALRM,Alarm.com Holdings Inc. Common Stock,3335040178.00,United States,2015,Computer Software: Prepackaged Software
0,AMAT,Applied Materials Inc. Common Stock,182245539391.00,United States,1972,Semiconductors
