Name,ISIN,Symbol,Market,Currency,size,TickerYahoo,index
74SOFTWARE,FR0011040500,74SW,Euronext Paris,EUR,mid-cap,74SW.PA,
ABC ARBITRAGE,FR0004040608,ABCA,Euronext Paris,EUR,mid-cap,ABCA.PA,
ABIVAX,FR0012333284,ABVX,Euronext Paris,EUR,mid-cap,ABVX.PA,
ACOMO,NL0000313286,ACOMO,Euronext Amsterdam,EUR,mid-cap,ACOMO.AS,
AJAX,NL0000018034,AJAX,Euronext Amsterdam,EUR,mid-cap,AJAX.AS,
AKWEL,FR0000053027,AKW,Euronext Paris,EUR,mid-cap,AKW.PA,
ALAN ALLMAN,FR0000062465,AAA,Euronext Paris,EUR,mid-cap,AAA.PA,
ALFEN,NL0012817175,ALFEN,Euronext Amsterdam,EUR,mid-cap,ALFEN.AS,
ALPES (COMPAGNIE),FR0000053324,CDA,Euronext Paris,EUR,mid-cap,CDA.PA,
ALTAMIR,FR0000053837,LTA,Euronext Paris,EUR,mid-cap,LTA.PA,
ALTAREIT,FR0000039216,AREIT,Euronext Paris,EUR,mid-cap,AREIT.PA,
AMG,NL0000888691,AMG,Euronext Amsterdam,EUR,mid-cap,AMG.AS,
AMPLITUDE SURGICAL,FR0012789667,AMPLI,Euronext Paris,EUR,mid-cap,AMPLI.PA,
ARAMIS GROUP,FR0014003U94,ARAMI,Euronext Paris,EUR,mid-cap,ARAMI.PA,
ASCENCIO,BE0003856730,ASCE,Euronext Brussels,EUR,mid-cap,ASCE.BR,
ASSYSTEM,FR0000074148,ASY,Euronext Paris,EUR,mid-cap,ASY.PA,
ATENOR,BE0003837540,ATEB,Euronext Brussels,EUR,mid-cap,ATEB.BR,
ATLAND,FR0013455482,ATLD,Euronext Paris,EUR,mid-cap,ATLD.PA,
AUBAY,FR0000063737,AUB,Euronext Paris,EUR,mid-cap,AUB.PA,
AVANTIUM,NL0012047823,AVTX,Euronext Amsterdam,EUR,mid-cap,AVTX.AS,
AZERION,NL00150006Z9,AZRN,Euronext Amsterdam,EUR,mid-cap,AZRN.AS,
B&S Group,LU1789205884,BSGR,Euronext Amsterdam,EUR,mid-cap,BSGR.AS,
BASSAC,FR0004023208,BASS,Euronext Paris,EUR,mid-cap,BASS.PA,
BASTIDE LE CONFORT,FR0000035370,BLC,Euronext Paris,EUR,mid-cap,BLC.PA,
BENETEAU,FR0000035164,BEN,Euronext Paris,EUR,mid-cap,BEN.PA,
BOIRON,FR0000061129,BOI,Euronext Paris,EUR,mid-cap,BOI.PA,
BONDUELLE,FR0000063935,BON,Euronext Paris,EUR,mid-cap,BON.PA,
BOURSE DIRECT,FR0000074254,BSD,Euronext Paris,EUR,mid-cap,BSD.PA,
BPOST,BE0974268972,BPOST,Euronext Brussels,EUR,mid-cap,BPOST.BR,
BQUE NAT. BELGIQUE,BE0003008019,BNB,Euronext Brussels,EUR,mid-cap,BNB.BR,
BRUNEL INTERNAT,NL0010776944,BRNL,Euronext Amsterdam,EUR,mid-cap,BRNL.AS,
BURELLE,FR0000061137,BUR,Euronext Paris,EUR,mid-cap,BUR.PA,
CARE PROPERTY INV.,BE0974273055,CPINV,Euronext Brussels,EUR,mid-cap,CPINV.BR,
CASINO GUICHARD,FR001400OKR3,CO,Euronext Paris,EUR,mid-cap,CO.PA,
CEGEDIM,FR0000053506,CGM,Euronext Paris,EUR,mid-cap,CGM.PA,
CFE,BE0003883031,CFEB,Euronext Brussels,EUR,mid-cap,CFEB.BR,
CHARGEURS,FR0000130692,CRI,Euronext Paris,EUR,mid-cap,CRI.PA,
CIE BOIS SAUVAGE,BE0003592038,COMB,Euronext Brussels,EUR,mid-cap,COMB.BR,
CLARIANE,FR0010386334,CLARI,Euronext Paris,EUR,mid-cap,CLARI.PA,
CM.COM,NL0012747059,CMCOM,Euronext Amsterdam,EUR,mid-cap,CMCOM.AS,
CRCAM BRIE PIC2CCI,FR0010483768,CRBP2,Euronext Paris,EUR,mid-cap,CRBP2.PA,
CRCAM NORD CCI,FR0000185514,CNDF,Euronext Paris,EUR,mid-cap,CNDF.PA,
CRCAM PARIS ET IDF,FR0000045528,CAF,Euronext Paris,EUR,mid-cap,CAF.PA,
DECEUNINCK,BE0003789063,DECB,Euronext Brussels,EUR,mid-cap,DECB.BR,
DEEZER,FR001400AYG6,DEEZR,Euronext Paris,EUR,mid-cap,DEEZR.PA,
DEKUPLE,FR0000062978,DKUPL,Euronext Paris,EUR,mid-cap,DKUPL.PA,
DERICHEBOURG,FR0000053381,DBG,Euronext Paris,EUR,mid-cap,DBG.PA,
EAGLEFOOTBALLGROUP,FR0010428771,EFG,Euronext Paris,EUR,mid-cap,EFG.PA,
ECONOCOM GROUP,BE0974313455,ECONB,Euronext Brussels,EUR,mid-cap,ECONB.BR,
EKOPAK,BE0974380124,EKOP,Euronext Brussels,EUR,mid-cap,EKOP.BR,
ELEC.STRASBOURG,FR0000031023,ELEC,Euronext Paris,EUR,mid-cap,ELEC.PA,
ELIOR GROUP,FR0011950732,ELIOR,Euronext Paris,EUR,mid-cap,ELIOR.PA,
EMEIS,FR001400NLM4,EMEIS,Euronext Paris,EUR,mid-cap,EMEIS.PA,
ENVIPCO,NL0015000GX8,ENVI,Euronext Amsterdam,EUR,mid-cap,ENVI.AS,
EQUASENS,FR0012882389,EQS,Euronext Paris,EUR,mid-cap,EQS.PA,
