Name,ISIN,Symbol,Market,Currency,size,TickerYahoo,index
AB SCIENCE,FR0010557264,AB,Euronext Paris,EUR,small-cap,AB.PA,
ABEO,FR0013185857,ABEO,Euronext Paris,EUR,small-cap,ABEO.PA,
ABIONYX PHARMA,FR0012616852,ABNX,Euronext Paris,EUR,small-cap,ABNX.PA,
ABL Diagnostics,FR001400AHX6,ABLD,Euronext Paris,EUR,small-cap,ABLD.PA,
ABO GROUP,BE0974278104,ABO,Euronext Brussels,EUR,small-cap,ABO.BR,
ACANTHE DEV.,FR0000064602,ACAN,Euronext Paris,EUR,small-cap,ACAN.PA,
ACCSYS,GB00BQQFX454,AXS,Euronext Amsterdam,EUR,small-cap,AXS.AS,
ACTEOS,FR0000076861,EOS,Euronext Paris,EUR,small-cap,EOS.PA,
ADC SIIC,BE0974269012,ALDV,Euronext Paris,EUR,small-cap,ALDV.PA,
ADOCIA,FR0011184241,ADOC,Euronext Paris,EUR,small-cap,ADOC.PA,
AELIS FARMA,FR0014007ZB4,AELIS,Euronext Paris,EUR,small-cap,AELIS.PA,
AFFLUENT MEDICAL,FR0013333077,AFME,Euronext Paris,EUR,small-cap,AFME.PA,
AGFA-GEVAERT,BE0003755692,AGFB,Euronext Brussels,EUR,small-cap,AGFB.BR,
ALMUNDA PRO NV,NL0010696704,AMUND,Euronext Amsterdam,EUR,small-cap,AMUND.AS,
ALUMEXX N.V.,NL0012194724,ALX,Euronext Amsterdam,EUR,small-cap,ALX.AS,
ARTEA,FR0012185536,ARTE,Euronext Paris,EUR,small-cap,ARTE.PA,
ARTMARKET COM,FR0000074783,PRC,Euronext Paris,EUR,small-cap,PRC.PA,
ARVERNE GROUP,FR001400JWR8,ARVEN,Euronext Paris,EUR,small-cap,ARVEN.PA,
ATEME,FR0011992700,ATEME,Euronext Paris,EUR,small-cap,ATEME.PA,
AUREA,FR0000039232,AURE,Euronext Paris,EUR,small-cap,AURE.PA,
AVENIR TELECOM,FR001400CFI7,AVT,Euronext Paris,EUR,small-cap,AVT.PA,
BALYO,FR0013258399,BALYO,Euronext Paris,EUR,small-cap,BALYO.PA,
