Name,Isin,TickerYahoo,Market,Currency
21S AADA,CH1102728750,AADA.PA,Euronext Paris,EUR
21S AAVE,CH1135202120,AAVE.PA,Euronext Paris,EUR
21S AFTM,CH1168929078,AFTM.PA,Euronext Paris,EUR
21S ALGO,CH1146882316,ALGO.PA,Euronext Paris,EUR
21S ALTS,CH1130675676,ALTS.PA,Euronext Paris,EUR
21S AUNI,CH1135202096,AUNI.PA,Euronext Paris,EUR
21S Bitcoin Cash,CH0475552201,ABCH.PA,Euronext Paris,EUR
21S CBTC,CH1199067674,CBTC.PA,Euronext Paris,EUR
21S HODL,CH0445689208,HODL.PA,Euronext Paris,EUR
21S HODLV,CH1135202161,HODLV.PA,Euronext Paris,EUR
21S HODLX,CH1135202179,HODLX.PA,Euronext Paris,EUR
21S LIDO,CH1275043318,LIDO.PA,Euronext Paris,EUR
21S LINK,CH1100083471,ALINK.PA,Euronext Paris,EUR
21S MANA,CH1161102699,MANA.PA,Euronext Paris,EUR
21S Polkadot,CH0593331561,ADOT.PA,Euronext Paris,EUR
21S Polygon,CH1129538448,MATIC.PA,Euronext Paris,EUR
21S Ripple XRP,CH0454664043,AXRP.PA,Euronext Paris,EUR
21S Solana,CH1114873776,ASOL.PA,Euronext Paris,EUR
21S STAKE,CH1210548892,STAKE.PA,Euronext Paris,EUR
21S Stellar,CH1109575535,AXLM.PA,Euronext Paris,EUR
21Shares Avalanche,CH1135202088,AVAX.PA,Euronext Paris,EUR
21Shares BTC ETP,CH0454664001,ABTC.PA,Euronext Paris,EUR
21Shares Ethereum,CH0454664027,AETH.PA,Euronext Paris,EUR
21Shares Short BTC,CH0514065058,SBTC.PA,Euronext Paris,EUR
AM ASIP EXJ PEA,FR0011869312,PAEJ.PA,Euronext Paris,EUR
AM EMU ESG LEAD D,LU2059756325,CMUD.PA,Euronext Paris,EUR
AM EMU ESG LEAD EU,LU1602144575,CMU.PA,Euronext Paris,EUR
AM EUR CLIM CTB,LU2130768844,LWCE.PA,Euronext Paris,EUR
AM EUR CORP SRI DR,LU1437018168,ECRP.PA,Euronext Paris,EUR
AM IMMO EUR PEA,FR0011869304,PMEH.PA,Euronext Paris,EUR
AM MSCI UK IM SRIG,LU1437025296,FTSE.PA,Euronext Paris,GBP
