ETF;ISIN;TER;AUM;Perf. 5 ans;Catégorie;ETF recommandé;Frais;Encours
AMUNDI MSCI WORLD SWAP;LU1681043599;0.0038;;0.8284999999999999;;;;
iSHARES MSCI WORLD SWAP PEA;IE0002XZSHO1;0.002;;;;;;
AMUNDI PEA MONDE (MSCI WORLD);FR001400U5Q4;0.002;631.0;;;;;
AMUNDI MSCI WORLD SWAP USD;LU1681043672;0.0038;92.0;0.8275;;;;
AMUNDI CAC 40 (Dist);FR0007052782;0.0025;;0.7288;;;;
AMUNDI CAC 40 (Acc);FR0013380607;0.0025;910.0;0.6972;;;;
AMUNDI CAC 40 ESG;LU1681046931;0.0025;615.0;0.7349;;;;
XTRACKERS CAC 40;LU0322250985;0.002;118.0;0.7323000000000001;;;;
BNP PARIBAS EASY CAC 40 ESG;FR0010150458;0.0025;217.0;0.6654000000000001;;;;
AMUNDI CAC TRANSITION CLIMAT;FR0010655704;0.0025;12.0;0.5534;;;;
AMUNDI CAC 40 (S Acc);FR001400ZGQ9;0.0025;2.0;;;;;
VANGUARD FTSE DEVELOPED EUROPE;IE00B945VV12;0.001;;0.8201;;;;
VANGUARD FTSE DEV. EUROPE EX UK;IE00BKX55S42;0.001;;0.7605;;;;
BNP PARIBAS EASY STOXX EUROPE 600;FR0011550672;0.0019;248.0;0.7913;;;;
AMUNDI PEA MSCI EUROPE;FR0013412038;0.0015;273.0;0.7665000000000001;;;;
AMUNDI PRIME EUROPE (C);LU2089238039;;;;;;;
AMUNDI PRIME EUROPE (D);LU1931974262;;;;;;;
AMUNDI STOXX EUROPE SELECT DIV 30;LU1812092168;0.003;409.0;0.9333;;;;
OSSIAM SHILLER BARCLAYS EUROPE VALUE;LU1079842321;0.006500000000000001;160.0;0.674;;;;
INVESCO FTSE RAFI EUROPE;IE00B23D8X81;;;;;;;
BNP PARIBAS EASY LOW VOL EUROPE;LU1377381717;0.0031;61.0;0.7373999999999999;;;;
BNP PARIBAS EASY QUALITY EUROPE;LU1377382103;0.0031;74.0;0.5498;;;;
BNP PARIBAS EASY VALUE EUROPE;LU1377382285;0.0031;50.0;0.6349;;;;
BNP PARIBAS EASY DIVIDEND EUROPE;LU1615092217;;;;;;;
OSSIAM EUROPE ESG MACHINE LEARNING;LU0599612842;0.006500000000000001;18.0;0.5957;;;;
WISDOMTREE EUROPE EQUITY INCOME;IE00B0M62Y33;0.003;711.0;0.7465;;;;
GOLDMAN SACHS ALPHA ENHANCED EUROPE;IE000HBN24M2;;;;;;;
MIRAE ASSET EUROPEAN INFRA;IE00030BCKJ3;;;;;;;
ISHARES EURO STOXX 50 (DE);DE0005933956;0.0009;;0.9470000000000001;;;;
ISHARES CORE EURO STOXX 50 (Acc);IE00B53L3W79;0.001;;0.9508;;;;
ISHARES CORE EURO STOXX 50 (Dist);IE0008471009;0.001;;0.9503;;;;
XTRACKERS EURO STOXX 50 1C;LU0380865021;0.0009;;0.9501000000000001;;;;
XTRACKERS EURO STOXX 50 1D;LU0274211217;0.0009;;0.9489;;;;
AMUNDI CORE EURO STOXX 50 (Acc);LU1681047236;0.0009;;0.9501000000000001;;;;
AMUNDI CORE EURO STOXX 50 (Dist);LU1681047319;0.0009;898.0;0.9512999999999999;;;;
HSBC EURO STOXX 50 (Dist);IE00B4K6B022;0.0005;;0.9534999999999999;;;;
BNP PARIBAS EURO STOXX 50 (Dist);FR0012740983;0.001;915.0;0.948;;;;
BNP PARIBAS EURO STOXX 50 (Acc);FR0012739431;0.001;768.0;0.9479000000000001;;;;
HSBC EURO STOXX 50 (Acc);IE000MWUQBJ0;0.0005;679.0;;;;;
UBS EURO STOXX 50;LU0136234068;0.0009;730.0;0.9470000000000001;;;;
AMUNDI EURO STOXX 50 II;FR0007054358;0.002;;0.9445;;;;
AMUNDI EURO STOXX 50 II USD H;FR0012399806;0.002;127.0;1.2018;;;;
AMUNDI EURO STOXX 50 II GBP H;FR0012399814;;;;;;;
AMUNDI CORE EURO STOXX 50 USD;LU1681047400;0.0009;41.0;0.9492;;;;
ISHARES CORE MSCI EMU (Acc);IE00B53QG562;0.0012;;0.8368000000000001;;;;
AMUNDI CORE MSCI EMU;LU1646361276;0.0012;351.0;0.8104;;;;
ISHARES MSCI EMU ESG SCREENED (Acc);IE00BFNM3B99;0.0012;;0.7918999999999999;;;;
ISHARES MSCI EMU ESG SCREENED (Dist);IE00BFNM3C07;0.0012;699.0;0.7955;;;;
ISHARES MSCI EMU ESG ENHANCED;IE00BHZPJ015;0.0012;;0.7757999999999999;;;;
XTRACKERS MSCI EMU;LU0846194776;0.0012;;0.831;;;;
AMUNDI MSCI EMU ESG LEADERS;LU0389811372;;;;;;;
AMUNDI MSCI EMU SRI CPA;LU2109787635;0.0018;106.0;0.5984;;;;
AMUNDI MSCI EMU ESG;LU0908501058;0.0012;;0.8033;;;;
SPDR MSCI EMU;IE00B910VR50;0.0008;342.0;0.8276;;;;
OSSIAM BLOOMBERG EUROZONE PAB;LU1847674733;0.0017000000000000001;318.0;0.6420999999999999;;;;
BNP PARIBAS MSCI EMU SRI PAB;LU1953137764;;;;;;;
AMUNDI MSCI EMU CPA;LU2182388582;0.0015;261.0;0.5660000000000001;;;;
AMUNDI S&P EUROZONE CPA;LU2195226068;0.002;;0.8155;;;;
AMUNDI S&P EUROZONE CPA (Dist);LU2932780914;0.002;96.0;;;;;
BNP PARIBAS EASY MSCI EMU MIN TE;LU1291098827;0.0015;;0.8;;;;
AMUNDI PRIME EUROZONE (C);LU2089238112;0.0005;82.0;0.8672;;;;
